Name,Team,G,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,FB,EV,Barrels,SB,playerid,DK Average
Nick Gordon,MIN,56,166,28,6,3,2,17,9,6,0,39,2,36,91,13,3,16337,4.30
Kurt Suzuki,LAA,24,83,10,3,0,2,7,9,9,0,17,1,24,84.8,3,0,8259,4.88
Tyler O'Neill,STL,45,185,29,6,1,4,22,28,14,0,54,0,40,88.8,11,6,15711,7.18
Alec Bohm,PHI,71,288,52,12,1,4,35,26,15,0,61,1,56,90,15,1,21618,5.96
Willi Castro,DET,50,168,28,8,2,2,18,13,5,0,31,3,43,82.9,3,2,17338,4.96
Joey Gallo,NYY,60,207,18,4,0,9,24,18,28,0,81,0,47,88.9,19,1,14128,5.15
Albert Pujols,STL,39,132,14,4,0,4,11,17,13,0,24,4,37,90.3,7,1,1177,5.05
Adam Engel,CHW,56,158,22,11,1,1,18,10,10,1,44,2,36,88.4,1,9,15082,4.75
Kevin Kiermaier,TBR,56,189,28,6,0,7,26,17,9,0,55,1,36,88.3,10,5,11038,5.63
Alejo Lopez,CIN,30,69,13,2,0,0,6,1,6,0,10,2,12,85.7,0,2,21127,2.97
Mauricio Dubon,- - -,42,105,16,4,0,3,14,15,6,0,5,0,45,85.2,4,1,16530,4.12
Miguel Rojas,MIA,62,229,37,6,1,6,21,19,13,1,26,3,61,86.5,6,4,7802,5.53
Austin Nola,SDP,51,197,32,7,0,2,22,23,16,0,31,5,54,91,4,1,15941,5.65
Victor Reyes,DET,22,74,16,3,1,0,6,5,2,0,14,0,16,91.3,3,0,15487,4.41
Alfonso Rivas,CHC,47,140,21,2,1,3,15,22,15,1,44,1,17,86.9,3,2,21560,4.87
Yuli Gurriel,HOU,66,260,28,21,0,5,23,19,14,0,37,3,90,87.3,5,3,19198,5.64
Willians Astudillo,MIA,17,38,9,0,0,1,5,4,1,0,2,0,10,84,0,1,15608,3.65
Jose Miranda,MIN,39,137,16,9,0,4,10,16,6,0,31,1,38,89.9,5,0,20538,5.10
Pablo Reyes,MIL,4,15,4,0,0,0,1,0,1,0,2,0,4,83.7,0,0,16357,4.00
Josh VanMeter,PIT,35,107,15,1,2,3,10,9,9,0,26,0,28,86.5,5,2,15170,4.63
Isiah Kiner-Falefa,NYY,65,245,48,11,0,0,36,18,16,2,37,3,49,85.7,1,10,16512,6.14
Josh Harrison,CHW,49,165,22,8,2,1,22,9,7,0,25,9,47,88.1,6,1,8202,4.71
Marcus Semien,TEX,70,310,45,11,1,7,35,27,24,0,53,1,106,86.2,12,12,12533,7.17
Justin Turner,LAD,67,279,30,20,0,4,31,37,26,1,49,1,89,88.7,15,1,5235,6.37
Luis Barrera,OAK,32,85,12,5,0,1,3,7,6,0,17,1,17,87.1,2,3,19615,3.75
Riley Adams,WSN,26,84,11,1,0,3,8,5,8,0,24,1,22,90.6,5,0,19864,4.31
Eric Haase,DET,41,124,16,4,1,4,15,13,8,0,31,0,32,86,7,0,14111,4.59
Rougned Odor,BAL,63,215,19,10,3,7,25,29,12,0,53,4,78,87.1,10,0,12282,5.41
Maikel Franco,WSN,72,287,47,15,0,6,22,32,10,0,56,0,77,87.4,11,0,12179,5.61
Joey Bart,SFG,36,108,9,1,0,4,12,7,15,0,49,3,12,89.4,3,1,21524,4.19
Trent Grisham,SDP,72,276,27,10,2,6,29,27,30,0,70,3,63,86.1,11,2,18564,5.49
Chad Pinder,OAK,51,189,29,9,0,5,16,16,7,0,63,0,34,88.6,8,2,15191,5.29
Hoy Park,PIT,16,45,5,1,0,2,5,6,2,0,13,1,10,82.3,2,1,18027,4.56
Nick Solak,TEX,26,75,11,1,0,2,11,3,5,0,17,3,13,88.4,3,3,19294,4.50
Raimel Tapia,TOR,62,213,36,12,0,3,23,20,7,0,39,0,46,87.9,11,4,14350,5.13
Johan Camargo,PHI,47,153,26,3,0,3,8,15,13,0,33,0,36,86.6,3,0,14950,4.15
