rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
127,Christian Yelich,MIL,106,455,384,99,7,24.3%,10.3%,.258,.370,.112,13.8%,23.1%
128,Yadiel Hernandez,WSN,88,271,245,69,7,22.1%,16.3%,.282,.416,.135,8.1%,19.2%
129,Jose Iglesias,- - -,99,385,365,112,4,29.2%,4.3%,.307,.411,.104,3.9%,12.5%
130,Matt Duffy,- - -,59,219,196,56,3,27.6%,7.0%,.286,.372,.087,8.7%,17.8%
131,Odubel Herrera,PHI,86,340,311,81,13,30.7%,16.9%,.260,.453,.193,6.2%,16.5%
132,J.P. Crawford,SEA,118,519,469,133,7,29.8%,6.1%,.284,.399,.115,8.1%,16.6%
133,Adam Engel,CHW,45,155,145,38,4,35.0%,11.1%,.262,.462,.200,2.6%,27.7%
134,Anthony Rizzo,- - -,106,448,391,88,21,41.9%,15.9%,.225,.437,.212,9.2%,17.4%
135,Luis Arraez,MIN,103,414,368,111,0,24.9%,0.0%,.302,.364,.063,10.1%,10.1%
136,Andrew McCutchen,- - -,105,452,390,91,18,36.9%,16.5%,.233,.421,.187,11.7%,21.9%
137,Eric Haase,DET,65,244,224,52,16,43.1%,25.8%,.232,.478,.246,7.4%,33.2%
138,Mike Zunino,TBR,71,255,235,47,22,59.9%,25.9%,.200,.523,.323,6.3%,36.9%
139,Jeremy Pena,HOU,33,137,125,33,4,35.9%,12.1%,.264,.440,.176,4.4%,24.1%
140,Robinson Chirinos,- - -,42,130,112,26,3,46.3%,8.1%,.232,.429,.196,6.2%,25.4%
141,Jean Segura,PHI,81,354,325,87,11,29.4%,13.4%,.268,.428,.160,6.5%,13.3%
142,Tommy La Stella,SFG,56,189,172,44,6,35.3%,11.3%,.256,.442,.186,7.4%,12.2%
143,Ryan Mountcastle,BAL,108,447,408,104,19,37.6%,17.6%,.255,.453,.199,6.9%,28.4%
144,Randy Arozarena,TBR,104,459,412,107,13,32.1%,14.4%,.260,.420,.160,7.6%,29.0%
145,George Springer,TOR,62,268,235,53,13,41.6%,17.6%,.226,.451,.226,9.7%,22.4%
146,Bo Bichette,TOR,116,517,483,132,19,30.8%,17.0%,.273,.431,.157,5.8%,23.2%
147,Donovan Solano,- - -,55,198,180,51,4,31.5%,8.7%,.283,.411,.128,5.1%,18.2%
148,Tyrone Taylor,MIL,83,270,243,63,6,41.5%,7.7%,.259,.412,.152,7.4%,20.7%
149,Max Muncy,LAD,106,451,376,78,18,43.7%,14.5%,.207,.399,.191,15.5%,20.4%
150,Kevin Pillar,- - -,61,189,175,44,9,45.1%,15.0%,.251,.446,.194,4.8%,22.2%
151,Chas McCormick,HOU,82,277,253,65,11,33.7%,19.0%,.257,.443,.186,7.2%,30.3%
152,Ramon Laureano,OAK,72,309,280,72,9,32.0%,14.1%,.257,.411,.154,6.8%,25.9%
153,Tyler Naquin,CIN,84,309,284,74,9,33.0%,13.0%,.261,.430,.169,6.5%,22.3%
154,Frank Schwindel,- - -,59,237,229,61,10,37.0%,14.9%,.266,.467,.201,3.4%,20.3%
155,Alex Verdugo,BOS,115,489,442,122,10,31.0%,8.6%,.276,.410,.133,8.2%,14.9%
156,Marcell Ozuna,ATL,58,248,225,55,11,42.0%,15.5%,.244,.422,.178,8.9%,22.6%
157,Yermin Mercedes,CHW,30,118,111,31,3,36.8%,9.4%,.279,.423,.144,5.1%,20.3%
158,Connor Joe,COL,70,281,244,63,7,32.4%,11.5%,.258,.373,.115,11.7%,20.6%
159,Cavan Biggio,TOR,64,231,193,45,6,40.7%,10.5%,.233,.389,.155,13.9%,23.4%
160,Wilmer Flores,SFG,104,358,325,82,13,38.2%,12.7%,.252,.415,.163,8.4%,16.2%
161,Daulton Varsho,ARI,75,295,272,64,16,41.7%,20.0%,.235,.463,.228,6.8%,24.7%
162,Wil Myers,SDP,93,324,301,78,12,37.3%,15.8%,.259,.442,.183,6.8%,29.3%
163,Keibert Ruiz,- - -,43,169,150,37,4,34.1%,8.7%,.247,.393,.147,10.1%,8.9%
164,Joey Gallo,- - -,107,435,362,70,22,48.1%,22.0%,.193,.401,.207,15.9%,35.2%
165,Tommy Edman,STL,122,553,501,133,12,32.9%,8.8%,.265,.405,.140,7.6%,15.9%
166,Alcides Escobar,WSN,62,275,253,72,1,25.7%,1.9%,.285,.391,.107,4.4%,17.5%
167,Andrew Vaughn,CHW,97,383,351,92,11,35.1%,11.3%,.262,.416,.154,6.5%,20.1%
168,Steven Kwan,CLE,32,127,112,32,0,34.0%,0.0%,.286,.357,.071,10.2%,7.9%
169,Jorge Alfaro,- - -,63,221,207,56,6,29.0%,15.8%,.271,.425,.155,5.0%,34.8%
170,Emmanuel Rivera,KCR,39,137,125,31,4,28.3%,15.4%,.248,.416,.168,7.3%,24.1%
171,Hunter Renfroe,- - -,98,401,368,82,25,46.6%,20.5%,.223,.467,.245,7.5%,26.9%
172,Max Kepler,MIN,90,363,318,75,10,37.0%,10.5%,.236,.406,.170,10.7%,17.4%
173,Brett Gardner,NYY,67,248,213,51,5,36.9%,8.5%,.239,.399,.160,11.7%,21.8%
174,Avisail Garcia,- - -,97,394,365,94,18,27.2%,25.4%,.258,.433,.175,5.6%,26.9%
175,Jeimer Candelario,DET,108,447,406,100,14,33.6%,14.0%,.246,.419,.172,8.5%,23.9%
176,Dansby Swanson,ATL,120,501,450,115,17,37.2%,14.0%,.256,.420,.164,8.0%,26.1%
177,Nick Castellanos,- - -,107,462,424,108,15,35.2%,12.8%,.255,.425,.170,6.7%,20.3%
178,Tyler Stephenson,CIN,89,283,250,63,8,26.2%,16.0%,.252,.392,.140,8.8%,21.6%
179,Eduardo Escobar,- - -,110,459,417,101,16,47.2%,10.7%,.242,.432,.189,8.7%,22.0%
180,Alfonso Rivas,CHC,32,108,95,25,3,28.4%,15.8%,.263,.389,.126,8.3%,27.8%
