playerId,Name,Tm,IP,TBF,FIP,HR,WHIP,FB%,HardHit%,K%
16350,Ryan Borucki,2 Tms,29.2,116,3.500959703,2,0.91011236,0.30136986,0.24657534,0.25
16358,Tyler Mahle,CIN,165.1,680,3.244417979,14,1.15524194,0.43209877,0.27737226,0.28676471
16377,Ryan Castellani,COL,20.1,91,9.239898953,7,1.57377049,0.44776119,0.44776119,0.08791209
16400,Reynaldo Lopez,CHW,51,212,4.559240548,7,1.23529412,0.44295302,0.38815789,0.18867925
16408,Victor Gonzalez,LAD,30.2,120,3.568544513,1,0.94565217,0.14285714,0.16091954,0.16666667
16418,Blake Taylor,HOU,37.2,150,3.616912814,3,1.03539823,0.40217391,0.25531915,0.25333333
16440,James Norwood,3 Tms,10,51,4.539234527,2,2.2,0.31428571,0.25714286,0.23529412
16502,Ryan Yarbrough,TBR,51.1,222,3.520835515,4,1.20779221,0.39864865,0.22666667,0.22522523
16511,Jordan Montgomery,NYY,58.1,237,2.770541343,4,1.01142857,0.26993865,0.23353293,0.24050633
16561,Austin Gomber,2 Tms,56,231,4.14094772,7,1.125,0.35151515,0.375,0.19480519
16587,Erik Swanson,SEA,29.2,120,2.85592069,4,1.07865169,0.42857143,0.33766234,0.31666667
16609,Bryan Abreu,HOU,26.2,121,2.777816206,0,1.5,0.30985915,0.22535211,0.26446281
16610,J.P. Feyereisen,2 Tms,36.1,147,4.842378892,5,1.1559633,0.41237113,0.3030303,0.19727891
16647,Ryan Thompson,TBR,23,96,4.245892548,2,1.2173913,0.34246575,0.34246575,0.14583333
16703,Julian Merryweather,TOR,16.2,68,4.418012953,3,1.14,0.375,0.36363636,0.26470588
16794,Josh James,HOU,10.1,47,4.443275569,1,1.74193548,0.37037037,0.22222222,0.25531915
16814,Tim Hill,SDP,50.2,212,3.93763156,4,1.125,0.23972603,0.24324324,0.19339623
16918,Luke Weaver,ARI,54.1,255,5.973719888,13,1.71165644,0.38797814,0.36956522,0.18039216
16929,Touki Toussaint,ATL,32.1,149,7.074878292,8,1.54639175,0.38636364,0.35555556,0.20805369
16933,Elieser Hernandez,MIA,65.2,301,7.28361551,24,1.52284264,0.50246305,0.37980769,0.21262458
16943,Sean Newcomb,2 Tms,19,95,4.26993079,2,1.78947369,0.22222222,0.21818182,0.26315789
16977,Trevor Williams,3 Tms,97,423,4.28276641,11,1.41237113,0.32131148,0.28525641,0.17257683
16981,Tyler Beede,2 Tms,14,62,3.770969965,1,1.5,0.31818182,0.37777778,0.17741935
17018,Jefry Rodriguez,WSN,11.1,48,4.317092942,1,1.32352941,0.42105263,0.42105263,0.125
17034,Sean Reid-Foley,2 Tms,18,78,4.101447115,2,1.38888889,0.37777778,0.32608696,0.26923077
17085,Pablo Lopez,MIA,122,506,3.585574607,11,1.19672131,0.29569892,0.28954424,0.19367589
17092,Domingo Acevedo,OAK,14.2,64,5.933843537,3,1.43181818,0.3877551,0.26,0.125
17117,Austin Davis,3 Tms,29,118,3.047680291,1,1.13793103,0.38461538,0.2625,0.22033898
17130,Raisel Iglesias,2 Tms,51,201,3.026418112,9,0.92156863,0.39669421,0.29032258,0.35323383
17149,Domingo German,NYY,46.1,182,3.644854262,7,0.99280576,0.5,0.4,0.26373626
17170,Gabe Speier,KCR,14,54,3.652158928,1,0.85714286,0.4,0.22222222,0.22222222
17181,Yoan Lopez,2 Tms,14.2,70,6.580193267,4,1.77272727,0.42857143,0.3877551,0.18571429
17186,Dinelson Lamet,SDP,62.2,263,3.213688135,6,1.18085106,0.39622642,0.325,0.29277567
17192,Jalen Beeks,TBR,15.1,60,3.482914746,3,1.04347826,0.46875,0.24242424,0.38333333
17237,Austin Brice,2 Tms,11.1,60,7.5015512,2,2.02941177,0.47058824,0.35294118,0.18333333
17264,Sam Coonrod,2 Tms,23.2,110,4.358253225,4,1.56338028,0.31343284,0.37313433,0.27272727
17277,Ranger Suarez,PHI,50.2,193,2.326283644,1,0.86842105,0.14516129,0.171875,0.25906736
17282,Michael Kopech,CHW,54.1,219,2.800500819,6,1.04907975,0.56363636,0.28318584,0.37899543
17285,Justus Sheffield,SEA,40,159,3.525594012,2,1.15,0.31132075,0.2962963,0.20754717
17292,Javy Guerra,2 Tms,10,56,7.460550642,3,2.5,0.37209302,0.39534884,0.125
17295,Framber Valdez,HOU,52,227,3.244268954,3,1.28846154,0.17557252,0.28787879,0.28193833
17312,Justin Steele,CHC,29.2,127,2.401713555,1,1.31460674,0.3125,0.29850746,0.33858268
17355,Edgar Santana,ATL,17.1,71,3.227726432,0,1.03846154,0.21153846,0.2962963,0.14084507
17359,Josh Taylor,BOS,27.1,105,2.22116182,0,0.87804878,0.32786885,0.22580645,0.2952381
17369,Brett Martin,TEX,37.2,157,3.453400273,2,1.19469027,0.26271186,0.28688525,0.15286624
17425,Erick Fedde,WSN,123.1,536,5.050829292,20,1.4027027,0.29381443,0.32911392,0.16791045
17432,Jeff Hoffman,2 Tms,57.2,278,5.27832156,8,1.78612717,0.38068182,0.33333333,0.20503597
17464,Jonathan Hernandez,TEX,12,51,3.358086462,1,1.08333333,0.42424242,0.51515152,0.25490196
17479,Jack Flaherty,STL,66.1,283,4.365373144,9,1.20603015,0.33149171,0.29347826,0.23674912
17485,Albert Abreu,3 Tms,18.2,88,8.409148799,6,1.66071429,0.47916667,0.375,0.22727273
17489,Spenser Watkins,BAL,40,180,4.65506223,5,1.55,0.30434783,0.29285714,0.13888889
17490,Genesis Cabrera,STL,45.1,193,3.759614148,2,1.34558824,0.31192661,0.27927928,0.25388601
17496,Diego Castillo,2 Tms,33.2,148,5.776800818,6,1.36633663,0.3956044,0.32258065,0.20945946
17536,Ryan Burr,CHW,19,88,6.426100064,4,1.78947368,0.35849057,0.43396226,0.21590909
