playerid,Name,Team, PA , HR , ISO , K% , FB% , Hard% , EV , LA , Barrel% , Hard%(FB) , vL-PA(2y) , vL-HR(2y) , vL-ISO(2y) , vL-K%(2y) , vL-FB%(2y) , vL-Hard%(2y) , vR-PA(2y) , vR-HR(2y) , vR-ISO(2y) , vR-K%(2y) , vR-FB%(2y) , vR-Hard%(2y) 
11442,Gary Sanchez,MIN,227,8,0.199,0.282,0.493,0.417,90.7,17.9,0.174,0.4507,234,11,0.217,0.2821,0.4964,0.3431,611,30,0.212,0.3,0.4598,0.3657
19913,Jesus Sanchez,MIA,221,10,0.209,0.29,0.359,0.28,88.9,9.2,0.112,0.3137,126,4,0.133,0.4048,0.3478,0.2754,375,20,0.243,0.272,0.346,0.3529
11739,J.T. Realmuto,PHI,266,5,0.127,0.214,0.37,0.298,87.7,13.7,0.061,0.2388,300,7,0.165,0.2467,0.3155,0.369,698,26,0.176,0.229,0.3654,0.3355
15429,Kris Bryant,COL,73, -   ,0.063,0.205,0.3,0.22,83.5,6.8,0.04,0.3333,208,9,0.215,0.2356,0.3939,0.3333,598,20,0.181,0.236,0.3933,0.3393
19352,Sean Murphy,OAK,267,8,0.176,0.247,0.417,0.297,88.4,14.8,0.103,0.2877,259,11,0.195,0.278,0.3816,0.3289,596,21,0.188,0.243,0.4193,0.3255
19734,Josh Rojas,ARI,177,4,0.122,0.209,0.4,0.35,86.8,13.2,0.024,0.375,225,5,0.116,0.2711,0.292,0.2734,572,10,0.133,0.226,0.3148,0.3194
6012,Didi Gregorius,PHI,139, -   ,0.095,0.158,0.337,0.21,84.4,9.7,0.029,0.2571,217,7,0.165,0.1705,0.4551,0.242,567,16,0.161,0.141,0.4163,0.2556
12147,Nick Ahmed,ARI,54,3,0.212,0.278,0.306,0.297,86.9,4.4,0.054,0.6364,241,6,0.195,0.1992,0.3815,0.3103,503,7,0.099,0.233,0.2933,0.2464
9847,Andrew McCutchen,MIL,260,6,0.115,0.196,0.351,0.297,88.3,12.5,0.076,0.3538,340,22,0.29,0.1912,0.4248,0.4248,735,21,0.138,0.226,0.3848,0.323
12371,Tommy La Stella,SFG,100,2,0.151,0.15,0.363,0.288,90.6,13.7,0.038,0.2759,99, -   ,0.056,0.0707,0.3373,0.2289,471,14,0.181,0.098,0.3873,0.3034
10324,Marcell Ozuna,ATL,297,14,0.187,0.229,0.433,0.361,89.5,14.9,0.139,0.3889,192,10,0.205,0.2396,0.344,0.32,580,29,0.214,0.221,0.4391,0.3883
16556,Ozzie Albies,ATL,263,8,0.161,0.175,0.44,0.33,87.1,16.7,0.055,0.375,289,12,0.223,0.1419,0.4449,0.3093,784,32,0.203,0.208,0.4803,0.3464
17929,Cedric Mullins II,BAL,318,6,0.124,0.186,0.45,0.264,89,18.4,0.059,0.2621,398,12,0.144,0.2136,0.3736,0.2527,748,27,0.209,0.182,0.4365,0.3204
14274,Mitch Haniger,SEA,36,3,0.286,0.25,0.5,0.269,93.3,24,0.192,0.2308,236,16,0.278,0.2203,0.4348,0.3975,491,26,0.215,0.257,0.3981,0.3519
19599,Chas McCormick,HOU,172,6,0.174,0.244,0.386,0.307,87.9,14,0.105,0.4091,136,7,0.242,0.2647,0.4767,0.3721,356,13,0.163,0.309,0.3814,0.3256
17696,Kevin Newman,PIT,52, -   ,0.125,0.135,0.439,0.195,84.8,18, -   ,0.1667,229,4,0.121,0.048,0.3878,0.2772,549,2,0.062,0.106,0.3377,0.21
21622,Jake McCarthy,ARI,86,3,0.177,0.349,0.362,0.34,90.6,15.5,0.1,0.2941,49,2,0.167,0.3469,0.28,0.36,107,3,0.167,0.336,0.4138,0.2258
20220,Jo Adell,LAA,87,3,0.167,0.345,0.321,0.259,90.1,10.5,0.13,0.4118,115,5,0.183,0.313,0.3611,0.3288,244,5,0.122,0.332,0.3311,0.2953
15518,Amed Rosario,CLE,269,2,0.102,0.145,0.258,0.263,88.6,3.8,0.037,0.375,320,7,0.154,0.1438,0.2885,0.3083,684,10,0.103,0.215,0.2643,0.2525
22209,Sam Huff,TEX,75,1,0.07,0.28,0.2,0.22,86,2,0.04,0.4,36,2,0.229,0.25,0.3846,0.3077,72,2,0.134,0.319,0.1364,0.3636
18042,Dylan Moore,SEA,120,3,0.149,0.258,0.508,0.338,87.5,19.2,0.121,0.375,277,11,0.187,0.2274,0.4709,0.3526,379,12,0.165,0.322,0.4851,0.2308
16622,Luis Urias,MIL,194,6,0.132,0.232,0.387,0.331,86.8,13.9,0.073,0.3333,225,9,0.189,0.1778,0.3711,0.3125,659,20,0.153,0.232,0.3493,0.3389
13367,Stephen Piscotty,OAK,47,1,0.1,0.255,0.179,0.286,92.5,6.7,0.036,0.6,169,2,0.099,0.1953,0.3277,0.2917,237,9,0.149,0.338,0.3546,0.3262
19610,Keibert Ruiz,WSN,229,2,0.096,0.1,0.328,0.246,87.7,13.4,0.032,0.3115,87, -   ,0.039,0.046,0.2568,0.2133,246,6,0.141,0.126,0.4031,0.2755
24589,Richie Palacios,CLE,70, -   ,0.076,0.157,0.291,0.232,85.4,10.8,0.018,0.1875,3, -   , -   ,0.6667, -   , -   ,67, -   ,0.078,0.134,0.2909,0.2321
18030,Harrison Bader,STL,264,5,0.114,0.178,0.44,0.255,83.5,17.3,0.04,0.25,155,6,0.204,0.2065,0.4727,0.3455,635,19,0.161,0.22,0.4136,0.2812
10059,Max Stassi,LAA,171,4,0.12,0.287,0.277,0.297,89.5,3.2,0.109,0.3929,186,7,0.166,0.2473,0.3445,0.3782,409,17,0.184,0.306,0.3136,0.2712
11476,Odubel Herrera,PHI,157,5,0.176,0.197,0.31,0.237,87.1,4,0.059,0.25,189,3,0.122,0.164,0.2609,0.2448,460,15,0.176,0.167,0.3305,0.3023
17027,Alex Verdugo,BOS,282,5,0.12,0.106,0.336,0.302,89.2,7.4,0.069,0.3205,354,3,0.07,0.1751,0.2519,0.2509,752,21,0.173,0.145,0.3188,0.3368
5497,Marwin Gonzalez,NYY,92,2,0.143,0.261,0.361,0.311,90.5,17.7,0.049,0.4091,191,3,0.136,0.1937,0.3121,0.2606,407,9,0.101,0.26,0.3492,0.2879
19392,Zach McKinstry,LAD,7,1,0.429,0.429,0.5,0.25,88.1,10.8,0.25,0.5,53,1,0.143,0.283,0.2727,0.2941,133,7,0.22,0.308,0.4167,0.4118
18353,Daz Cameron,DET,61,1,0.143,0.295,0.5,0.368,90.7,18.8,0.105,0.3684,68,1,0.159,0.3382,0.5,0.4,167,4,0.124,0.311,0.3861,0.2871
27506,Ha-seong Kim,SDP,263,4,0.121,0.194,0.403,0.242,83.7,17.1,0.055,0.3151,178,4,0.164,0.1629,0.379,0.312,383,8,0.124,0.243,0.4235,0.2442
10028,Christian Bethancourt,OAK,158,4,0.154,0.234,0.333,0.363,92.2,8.3,0.15,0.4865,73,2,0.149,0.2329,0.2245,0.36,85,2,0.159,0.235,0.4194,0.3651
5343,Brandon Crawford,SFG,243,5,0.126,0.206,0.39,0.218,86.9,14.5,0.085,0.2969,247,7,0.147,0.2186,0.4182,0.259,738,30,0.213,0.201,0.3898,0.3104
21558,Matt Vierling,PHI,101,3,0.13,0.198,0.425,0.26,92.1,15.1,0.082,0.2258,91,1,0.106,0.1978,0.2836,0.2836,87,4,0.179,0.253,0.3966,0.3448
10243,Randal Grichuk,COL,234,7,0.124,0.274,0.31,0.323,88.3,7,0.039,0.3125,276,12,0.202,0.1884,0.4135,0.3413,734,29,0.165,0.238,0.383,0.3346
4892,Mike Moustakas,CIN,190,3,0.104,0.195,0.484,0.266,87.4,19.6,0.047,0.1935,136,1,0.078,0.2132,0.4205,0.3182,423,16,0.192,0.213,0.4737,0.2947
15161,Mitch Garver,TEX,171,7,0.18,0.257,0.5,0.343,88.7,20.7,0.065,0.3333,183,11,0.241,0.2623,0.4602,0.4248,312,11,0.185,0.333,0.4675,0.3964
15585,Mike Ford,- - -,43, -   ,0.03,0.279,0.381,0.333,92.5,19,0.048,0.125,23, -   , -   ,0.3043,0.4615,0.3077,176,5,0.136,0.25,0.375,0.4038
7304,Salvador Perez,KCR,236,11,0.215,0.275,0.494,0.316,91.4,17.1,0.108,0.359,292,24,0.319,0.226,0.4375,0.3894,765,46,0.242,0.268,0.4085,0.4181
16909,Colin Moran,CIN,117,4,0.15,0.231,0.316,0.347,90,11.6,0.079,0.4348,173,3,0.103,0.2486,0.2523,0.3036,502,21,0.184,0.245,0.2919,0.3549
15998,Cody Bellinger,LAD,270,9,0.177,0.3,0.458,0.369,90,21.1,0.083,0.3506,267,5,0.099,0.2434,0.3708,0.3539,596,26,0.205,0.255,0.4856,0.3455
5297,Aaron Hicks,NYY,225,3,0.069,0.227,0.391,0.264,87.7,15.2,0.029,0.1667,156,6,0.157,0.2179,0.3663,0.3564,406,7,0.117,0.209,0.3968,0.26
15351,Frank Schwindel,CHC,245,8,0.149,0.2,0.365,0.304,87.9,12.3,0.055,0.3788,147,9,0.269,0.1769,0.3981,0.2778,357,13,0.185,0.179,0.3723,0.3248
24618,Ryan Jeffers,MIN,176,5,0.155,0.29,0.495,0.324,88.6,21.7,0.171,0.3333,179,7,0.171,0.3184,0.3762,0.402,352,15,0.188,0.344,0.4213,0.3586
19858,Luis Rengifo,LAA,147,3,0.132,0.163,0.339,0.239,86.8,11.5,0.044,0.1842,151,5,0.118,0.1854,0.3426,0.2743,292,5,0.095,0.205,0.3235,0.2657
8203,Dee Strange-Gordon,WSN,59, -   ,0.051,0.136,0.204,0.137,84.4,1.3, -   ,0.3,31, -   ,0.033,0.2581,0.4,0.0455,110, -   ,0.029,0.118,0.2247,0.1209
6153,Eduardo Escobar,NYM,286,6,0.155,0.255,0.458,0.247,88,20.3,0.063,0.3103,309,13,0.215,0.165,0.4625,0.3542,798,25,0.17,0.234,0.449,0.2944
9256,A.J. Pollock,CHW,212,4,0.131,0.198,0.384,0.314,88.5,13.7,0.101,0.3443,248,18,0.307,0.1774,0.3495,0.4462,596,23,0.191,0.206,0.4051,0.338
18821,Jose Azocar,SDP,112, -   ,0.097,0.25,0.319,0.211,88.3,9.1,0.026,0.2609,59, -   ,0.145,0.2542,0.3846,0.2683,53, -   ,0.042,0.245,0.2424,0.1429
10556,Cesar Hernandez,WSN,329, -   ,0.066,0.179,0.277,0.255,85,8.3,0.032,0.2424,370,14,0.175,0.1892,0.3053,0.3532,857,10,0.101,0.211,0.3189,0.2462
19901,Gavin Sheets,CHW,164,5,0.14,0.22,0.478,0.263,88,16.7,0.079,0.2778,36, -   , -   ,0.3889,0.25,0.2,307,16,0.225,0.202,0.4439,0.3442
18795,Ramon Urias,BAL,188,6,0.162,0.255,0.283,0.359,91.3,9.5,0.094,0.4167,196,6,0.148,0.2602,0.304,0.3413,315,8,0.148,0.251,0.2427,0.3865
19892,Pavin Smith,ARI,240,9,0.155,0.263,0.447,0.27,88.9,15.6,0.118,0.3088,214,2,0.067,0.2383,0.3082,0.3219,615,19,0.168,0.205,0.359,0.3233
19458,Cooper Hummel,ARI,120,2,0.139,0.317,0.302,0.317,87.4,3.6,0.079,0.4737,59,1,0.135,0.2712,0.2222,0.2778,61,1,0.143,0.361,0.4074,0.3704
13301,Max Muncy,LAD,230,5,0.119,0.213,0.496,0.316,87.8,20.3,0.11,0.3881,301,16,0.222,0.1761,0.3819,0.3719,769,37,0.227,0.229,0.4532,0.387
16337,Nick Gordon,MIN,166,2,0.115,0.235,0.308,0.395,91,10,0.109,0.5278,76, -   , -   ,0.2368,0.2115,0.2075,306,6,0.143,0.248,0.2986,0.4717
8259,Kurt Suzuki,LAA,83,2,0.123,0.205,0.429,0.25,84.8,21.7,0.054,0.2083,164,7,0.189,0.1402,0.4167,0.2541,295,3,0.085,0.193,0.3942,0.2679
15711,Tyler O'Neill,STL,185,4,0.12,0.292,0.342,0.274,88.8,11.8,0.094,0.325,162,7,0.223,0.2716,0.3711,0.433,717,38,0.227,0.308,0.4,0.3632
21618,Alec Bohm,PHI,288,4,0.098,0.212,0.265,0.284,90,9.4,0.071,0.375,271,8,0.182,0.2103,0.3053,0.3842,614,7,0.073,0.246,0.219,0.3
17338,Willi Castro,DET,168,2,0.115,0.185,0.339,0.186,82.9,11.4,0.023,0.1628,208,3,0.122,0.1683,0.2945,0.2485,550,14,0.147,0.26,0.3435,0.212
14128,Joey Gallo,NYY,207,9,0.173,0.391,0.48,0.306,88.9,21,0.194,0.3404,355,17,0.206,0.4141,0.5172,0.3896,694,40,0.239,0.326,0.5089,0.3634
1177,Albert Pujols,STL,132,4,0.143,0.182,0.407,0.374,90.3,15.1,0.077,0.3514,259,17,0.252,0.1583,0.3366,0.4049,332,10,0.118,0.16,0.439,0.3171
15082,Adam Engel,CHW,158,1,0.11,0.278,0.353,0.235,88.4,14,0.01,0.1389,126,4,0.167,0.2063,0.4253,0.2955,265,7,0.177,0.257,0.3295,0.2841
11038,Kevin Kiermaier,TBR,189,7,0.151,0.291,0.29,0.29,88.3,7.1,0.081,0.5,188, -   ,0.075,0.2872,0.2437,0.2437,550,14,0.161,0.258,0.2521,0.3079
21127,Alejo Lopez,CIN,69, -   ,0.033,0.145,0.235,0.235,85.7,9.7, -   ,0.25,41, -   ,0.027,0.0976,0.1818,0.1515,51, -   ,0.021,0.216,0.2222,0.3056
16530,Mauricio Dubon,- - -,105,3,0.137,0.048,0.489,0.277,85.2,17.3,0.043,0.2889,162,7,0.174,0.142,0.312,0.3203,307,5,0.104,0.192,0.4751,0.2655
7802,Miguel Rojas,MIA,229,6,0.123,0.114,0.326,0.203,86.5,8.9,0.032,0.1967,262,7,0.185,0.1031,0.3155,0.335,649,12,0.117,0.14,0.3465,0.2114
15941,Austin Nola,SDP,197,2,0.076,0.157,0.372,0.331,91,12.7,0.028,0.2963,211,2,0.1,0.1327,0.3939,0.3636,364,9,0.14,0.154,0.3509,0.3208
14593,David Bote,CHC,8, -   , -   ,0.375,0.333,0.333,100.4,-1.4, -   ,1,149,6,0.191,0.2483,0.3895,0.4,331,9,0.134,0.239,0.3674,0.3796
17062,Grayson Greiner,ARI,8, -   , -   ,0.375,0.333,0.333,89.7,12.7, -   , -   ,41,1,0.118,0.3902,0.3333,0.2105,104,3,0.147,0.365,0.4386,0.4035
15487,Victor Reyes,DET,74, -   ,0.069,0.189,0.276,0.333,91.3,12,0.052,0.375,128,2,0.111,0.1797,0.1685,0.2842,378,7,0.131,0.241,0.3152,0.2935
21560,Alfonso Rivas,CHC,140,3,0.107,0.314,0.218,0.275,86.9,2.6,0.038,0.2941,36, -   , -   ,0.3889,0.1765,0.1765,153,4,0.125,0.301,0.2584,0.2747
19198,Yuli Gurriel,HOU,260,5,0.149,0.142,0.437,0.262,87.3,17.1,0.024,0.2444,353,14,0.212,0.085,0.4692,0.3014,742,12,0.115,0.137,0.3761,0.3362
15608,Willians Astudillo,MIA,38,1,0.081,0.053,0.286,0.171,84,9.3, -   ,0.2,101,3,0.135,0.0594,0.4286,0.2418,169,6,0.139,0.059,0.4,0.2323
20538,Jose Miranda,MIN,137,4,0.162,0.226,0.384,0.374,89.9,11.7,0.051,0.3684,47,2,0.2,0.1064,0.5,0.425,90,2,0.141,0.289,0.3051,0.339
16357,Pablo Reyes,MIL,15, -   , -   ,0.133,0.364,0.083,83.7,0.1, -   , -   ,48,1,0.116,0.1875,0.4706,0.2647,54, -   ,0.061,0.148,0.35,0.2683
15170,Josh VanMeter,PIT,107,3,0.143,0.243,0.394,0.236,86.5,12.5,0.069,0.2857,81,1,0.129,0.2963,0.2826,0.3478,416,10,0.145,0.262,0.4583,0.3233
16512,Isiah Kiner-Falefa,NYY,245, -   ,0.05,0.151,0.263,0.201,85.7,7.3,0.005,0.1429,339,3,0.076,0.1298,0.2482,0.2883,811,8,0.081,0.142,0.2555,0.2504
8202,Josh Harrison,CHW,165,1,0.102,0.152,0.382,0.21,88.1,15,0.048,0.2766,243,5,0.131,0.1358,0.3333,0.2804,571,7,0.114,0.138,0.3839,0.254
12533,Marcus Semien,TEX,310,7,0.121,0.171,0.457,0.254,86.2,18.6,0.052,0.2925,334,16,0.215,0.2096,0.4635,0.3391,936,43,0.212,0.191,0.4753,0.3109
5235,Justin Turner,LAD,279,4,0.13,0.176,0.438,0.31,88.7,18.5,0.074,0.3146,315,14,0.188,0.1746,0.4646,0.4381,751,21,0.162,0.157,0.4273,0.3757
19615,Luis Barrera,OAK,85,1,0.104,0.2,0.288,0.279,87.1,5.1,0.033,0.2941,9, -   ,0.125,0.2222,0.1667,0.1667,84,1,0.091,0.202,0.3051,0.2787
19864,Riley Adams,WSN,84,3,0.133,0.286,0.431,0.314,90.6,14.3,0.098,0.4545,91,2,0.159,0.2967,0.4,0.3636,113,3,0.141,0.327,0.3636,0.2909
14111,Eric Haase,DET,124,4,0.155,0.25,0.376,0.259,86,16,0.082,0.25,174,12,0.255,0.3046,0.3805,0.3274,350,14,0.176,0.294,0.4174,0.3349
12282,Rougned Odor,BAL,215,7,0.188,0.247,0.538,0.288,87.1,23.1,0.068,0.2436,198,9,0.186,0.2475,0.4309,0.2969,526,23,0.198,0.287,0.5245,0.3204
12179,Maikel Franco,WSN,287,6,0.12,0.195,0.348,0.294,87.4,11.6,0.05,0.2727,260,4,0.121,0.2038,0.2947,0.2789,673,21,0.156,0.16,0.3602,0.3058
21524,Joey Bart,SFG,108,4,0.144,0.454,0.293,0.317,89.4,12.9,0.073,0.3333,55,1,0.118,0.4545,0.4615,0.3077,170,3,0.108,0.394,0.2593,0.3704
18564,Trent Grisham,SDP,276,6,0.136,0.254,0.394,0.231,86.1,11.9,0.064,0.2857,281,9,0.166,0.2278,0.3114,0.25,774,22,0.171,0.244,0.3908,0.3
15191,Chad Pinder,OAK,189,5,0.133,0.333,0.288,0.286,88.6,9.1,0.067,0.3824,209,9,0.203,0.2536,0.3,0.3759,274,4,0.116,0.31,0.3161,0.3161
18027,Hoy Park,PIT,45,2,0.184,0.289,0.385,0.138,82.3,7.8,0.069,0.4,34,2,0.393,0.2647,0.6316,0.381,161,3,0.101,0.261,0.3367,0.23
19294,Nick Solak,TEX,75,2,0.104,0.227,0.265,0.28,88.4,1.3,0.06,0.1538,272,5,0.098,0.2022,0.2857,0.3,547,10,0.11,0.203,0.3176,0.3135
14350,Raimel Tapia,TOR,213,3,0.104,0.183,0.28,0.319,87.9,5.1,0.066,0.3043,229, -   ,0.07,0.1616,0.1222,0.1823,723,10,0.105,0.152,0.226,0.307
14950,Johan Camargo,PHI,153,3,0.086,0.216,0.343,0.178,86.6,12,0.028,0.1944,98,3,0.122,0.2755,0.4127,0.2031,200,4,0.114,0.235,0.3139,0.2246
5254,Robbie Grossman,DET,225,2,0.068,0.298,0.449,0.289,86.8,21.6,0.047,0.2456,297,9,0.175,0.2155,0.3548,0.2299,791,24,0.161,0.248,0.479,0.2944
15808,Jose Godoy,MIN,5, -   , -   ,0.4, -   , -   ,,, -   , -   ,5, -   , -   ,0.4,0.5,0.5,40, -   ,0.028,0.35,0.381,0.1364
12775,Brad Miller,TEX,164,7,0.146,0.274,0.415,0.299,91.2,13.2,0.084,0.3636,112,6,0.179,0.4107,0.4068,0.3833,600,28,0.21,0.262,0.3674,0.3802
12979,Javier Baez,DET,244,7,0.157,0.238,0.324,0.277,87.9,9.3,0.092,0.375,259,13,0.241,0.2664,0.3254,0.3669,767,33,0.18,0.323,0.3362,0.3333
20202,Brandon Marsh,LAA,242,6,0.114,0.347,0.343,0.343,89.1,11.7,0.086,0.4255,150,1,0.029,0.3733,0.2048,0.2644,352,7,0.142,0.338,0.3333,0.415
18363,Victor Robles,WSN,187,1,0.074,0.262,0.34,0.221,83,14,0.041,0.1714,227,1,0.084,0.2203,0.3588,0.2069,518,5,0.09,0.264,0.3696,0.2364
14894,Tony Kemp,OAK,262,2,0.066,0.126,0.379,0.179,84.7,14.2,0.01,0.25,157,2,0.064,0.2038,0.3218,0.2292,616,8,0.11,0.107,0.4096,0.2337
8709,Elvis Andrus,OAK,246,3,0.115,0.142,0.391,0.25,88.6,13.5,0.031,0.2267,290,2,0.068,0.1759,0.2817,0.242,608,7,0.107,0.132,0.3514,0.2893
19966,Bobby Dalbec,BOS,203,5,0.128,0.281,0.432,0.264,89.9,16.8,0.088,0.2222,279,16,0.263,0.3513,0.462,0.3544,469,22,0.211,0.328,0.4148,0.3444
16434,Christian Arroyo,BOS,103,4,0.158,0.165,0.392,0.225,88.3,10.4,0.125,0.3548,132,5,0.177,0.2424,0.4194,0.2979,206,8,0.178,0.194,0.3034,0.274
22799,Geraldo Perdomo,ARI,225,2,0.078,0.231,0.321,0.268,84.9,13.6,0.028,0.2791,67, -   ,0.017,0.194,0.2391,0.2917,195,2,0.117,0.231,0.4018,0.2353
19600,Bryan De La Cruz,MIA,142,4,0.123,0.239,0.237,0.289,88.7,6.9,0.062,0.3913,103,2,0.097,0.2621,0.2424,0.2273,258,7,0.14,0.233,0.2865,0.3427
9952,Trayce Thompson,- - -,33,1,0.133,0.455,0.267,0.267,83.3,18.9,0.067,0.25,30,3,0.385,0.3667,0.4667,0.4,38,2,0.219,0.395,0.2941,0.4706
10472,Enrique Hernandez,BOS,238,4,0.13,0.16,0.5,0.272,87.8,21.4,0.072,0.2222,341,15,0.228,0.1789,0.4412,0.3403,630,14,0.153,0.187,0.4715,0.3268
13836,Matt Duffy,LAA,143, -   ,0.03,0.21,0.25,0.221,86.5,8.3,0.019,0.2692,163, -   ,0.048,0.1656,0.2542,0.2917,302,5,0.087,0.219,0.2512,0.2275
10950,Adam Duvall,ATL,273,8,0.149,0.326,0.528,0.335,88,23.8,0.112,0.2941,255,14,0.239,0.3098,0.5548,0.3871,782,48,0.24,0.304,0.5237,0.3278
19890,Emmanuel Rivera,KCR,147,4,0.168,0.231,0.35,0.379,91.4,9.3,0.107,0.5,82,2,0.176,0.1098,0.2462,0.3692,163,3,0.111,0.282,0.3364,0.4112
11680,Elias Diaz,COL,177,4,0.123,0.198,0.333,0.271,88.1,10.4,0.047,0.2791,228,8,0.183,0.1798,0.3832,0.3772,393,16,0.178,0.176,0.3741,0.3095
5000,Stephen Vogt,OAK,52,3,0.196,0.269,0.419,0.25,87.2,16.6,0.094,0.2308,60,1,0.078,0.2667,0.3143,0.25,311,10,0.152,0.232,0.5024,0.3285
15223,Adam Frazier,SEA,303,2,0.074,0.112,0.322,0.199,84.8,11.9,0.012,0.1558,302,5,0.12,0.1556,0.2576,0.2096,870,9,0.097,0.105,0.3314,0.2375
20493,Seth Beer,ARI,93,1,0.074,0.258,0.31,0.362,87.5,10.4,0.034,0.5556,26, -   ,0.125,0.2308,0.2778,0.4444,77,2,0.106,0.273,0.3478,0.3478
27465,Spencer Torkelson,DET,236,4,0.101,0.258,0.365,0.27,88.8,12.4,0.068,0.2037,61,1,0.145,0.2295,0.4146,0.3415,175,3,0.086,0.269,0.3458,0.243
10071,Jonathan Villar,CHC,166,2,0.105,0.253,0.241,0.265,90.2,2.2,0.027,0.4074,260,4,0.103,0.25,0.2273,0.2626,618,18,0.142,0.264,0.292,0.2857
12198,Jake Hager,ARI,51, -   ,0.023,0.294,0.423,0.207,79.5,16.8,0.034,0.2727,33, -   , -   ,0.3636,0.3333,0.0588,48, -   ,0.024,0.354,0.3478,0.25
15958,Travis Demeritte,ATL,96,3,0.124,0.333,0.328,0.293,88.8,9.7,0.069,0.2632,42, -   ,0.026,0.4524,0.1429,0.381,87,3,0.139,0.31,0.3846,0.3077
19931,Luke Williams,- - -,47, -   ,0.047,0.298,0.333,0.103,79.7,15.8, -   , -   ,84,1,0.092,0.1786,0.3036,0.2295,71, -   ,0.031,0.31,0.25,0.1395
19635,Sheldon Neuse,OAK,203,2,0.069,0.271,0.173,0.263,89.6,2.6,0.023,0.3043,109,1,0.057,0.2844,0.2267,0.28,160,4,0.116,0.313,0.2474,0.2577
19928,Ryan McKenna,BAL,79, -   ,0.069,0.392,0.22,0.214,84.6,9.4,0.071,0.3333,112,1,0.061,0.3393,0.2034,0.2459,164,1,0.091,0.409,0.3247,0.2436
9627,Yan Gomes,CHC,124,3,0.115,0.185,0.323,0.253,85.1,6.9,0.03,0.4063,200,10,0.224,0.18,0.3648,0.3774,418,11,0.129,0.208,0.3576,0.2947
17838,Willie Calhoun,TEX,53,1,0.136,0.113,0.5,0.342,89.8,12.6,0.026,0.2105,88,1,0.114,0.1023,0.3662,0.2958,357,7,0.117,0.134,0.4194,0.3656
21711,Oneil Cruz,PIT,28, -   ,0.107,0.25,0.429,0.286,91.1,15.3,0.095,0.2222,15, -   ,0.067,0.6,0.3333,0.6667,22,1,0.227,0.091,0.4,0.3
15653,Dominic Smith,NYM,109, -   ,0.074,0.239,0.371,0.229,90,11.5,0.029,0.2692,220,4,0.132,0.2045,0.2819,0.3356,581,17,0.167,0.238,0.3788,0.3434
19293,Nick Senzel,CIN,181,1,0.05,0.193,0.323,0.283,88.3,11.6,0.038,0.2927,101,1,0.066,0.1485,0.3974,0.3077,282,3,0.084,0.181,0.3134,0.2985
19346,Eli White,TEX,117,3,0.105,0.35,0.482,0.246,86.4,21.5,0.046,0.2963,164,2,0.069,0.2988,0.4222,0.1667,225,7,0.141,0.329,0.4173,0.2687
5760,Avisail Garcia,MIA,235,5,0.1,0.272,0.289,0.289,88.8,3.5,0.082,0.4565,241,8,0.187,0.2324,0.3243,0.3851,716,28,0.159,0.249,0.2971,0.3156
15878,Miguel Andujar,NYY,43, -   ,0.049,0.163,0.4,0.2,85.1,9,0.057,0.2857,115,3,0.11,0.2,0.3563,0.2529,155,4,0.115,0.135,0.3438,0.2578
16375,Oscar Mercado,CLE,119,4,0.175,0.227,0.523,0.261,86.6,21.3,0.068,0.2826,183,3,0.12,0.1913,0.3893,0.2388,267,8,0.141,0.228,0.4681,0.266
11281,Whit Merrifield,KCR,320,3,0.082,0.144,0.388,0.278,87.3,14.9,0.044,0.3711,351,6,0.127,0.1197,0.363,0.3136,954,16,0.114,0.147,0.3648,0.2387
20165,J.J. Matijevic,HOU,16,2,0.375,0.5,0.5,0.625,93,16.7,0.125,0.75,2, -   , -   ,1, -   , -   ,14,2,0.429,0.429,0.5,0.625
21871,Jerar Encarnacion,MIA,8,1,0.375,0.125,0.143,0.571,92.7,-7.6,0.143,1,2, -   , -   , -   , -   ,0.5,6,1,0.5,0.167,0.2,0.6
14566,Franmil Reyes,CLE,166,4,0.105,0.404,0.322,0.425,94.3,9,0.149,0.6071,243,9,0.169,0.2963,0.3662,0.4296,630,34,0.227,0.338,0.3379,0.4093
17893,Tyler Nevin,BAL,138,2,0.07,0.232,0.407,0.221,87.2,17.7,0.047,0.2286,49,3,0.3,0.2041,0.5,0.2,107, -   ,0.011,0.252,0.4154,0.2308
21523,Jonathan India,CIN,90,1,0.072,0.222,0.333,0.206,83.9,16.7,0.032,0.1905,180,3,0.12,0.1778,0.3571,0.3413,541,19,0.193,0.238,0.3253,0.3153
13355,Luke Maile,CLE,68, -   ,0.103,0.25,0.465,0.209,83.4,18.4,0.047,0.2,25, -   ,0.2,0.12,0.5263,0.3684,77, -   ,0.088,0.273,0.2766,0.1915
17484,Eloy Jimenez,CHW,39,1,0.111,0.256,0.259,0.407,92.6,3,0.074,0.2857,112,7,0.223,0.2679,0.2432,0.4324,384,18,0.214,0.242,0.2985,0.4142
12984,Jackie Bradley Jr.,BOS,222,1,0.093,0.203,0.308,0.284,88.3,7,0.043,0.3061,190,5,0.135,0.2526,0.2564,0.265,677,9,0.108,0.261,0.3122,0.3177
18900,Leody Taveras,TEX,31, -   ,0.034,0.226,0.545,0.227,91.3,22.9,0.045,0.1667,105,2,0.125,0.3429,0.2881,0.4,245,5,0.124,0.302,0.3724,0.2922
