playerid,Name,Team, PA , HR , ISO , K% , FB% , Hard% , EV , LA , Barrel% , Hard%(FB) , vL-PA(2y) , vL-HR(2y) , vL-ISO(2y) , vL-K%(2y) , vL-FB%(2y) , vL-Hard%(2y) , vR-PA(2y) , vR-HR(2y) , vR-ISO(2y) , vR-K%(2y) , vR-FB%(2y) , vR-Hard%(2y) 
13499,Tom Murphy,SEA,42,1,0.152,0.31,0.35,0.5,94.3,13.4,0.19,0.7143,185,8,0.192,0.2811,0.36,0.39,182,4,0.107,0.33,0.4554,0.396
24273,Liover Peguero,PIT,4, -   , -   ,0.5, -   ,1,106.7,3.5, -   , -   ,2, -   , -   ,0.5, -   ,1,2, -   , -   ,0.5, -   , -   
11899,Joc Pederson,SFG,211,17,0.305,0.218,0.437,0.441,94.5,13.5,0.189,0.4677,146,4,0.13,0.2397,0.2917,0.3402,684,38,0.238,0.237,0.4414,0.3778
26396,Josh Smith,TEX,33, -   ,0.042,0.121,0.263,0.25,87.9,18.4, -   ,0.4,5, -   , -   , -   , -   , -   ,28, -   ,0.045,0.143,0.2941,0.2778
16686,Jason Vosler,SFG,58,4,0.275,0.259,0.27,0.297,84.9,10.4,0.054,0.4,15,1,0.231,0.2667,0.5,0.3,125,6,0.216,0.256,0.35,0.3125
20036,Isaac Paredes,TBR,108,10,0.357,0.139,0.488,0.298,86.9,17.3,0.083,0.3171,90,4,0.173,0.1333,0.4,0.2143,211,8,0.19,0.18,0.4183,0.2876
23359,Nelson Velazquez,CHC,20, -   ,0.059,0.25,0.333,0.25,87.3,15.9, -   ,0.25,9, -   ,0.125,0.4444, -   ,0.25,11, -   , -   ,0.091,0.5,0.25
24679,Brendan Donovan,STL,197,2,0.133,0.173,0.198,0.229,86.6,5.6,0.015,0.2692,29, -   ,0.08,0.1034,0.0909,0.2273,168,2,0.143,0.185,0.2202,0.2294
18063,Kyle Garlick,MIN,73,6,0.292,0.205,0.431,0.373,93.2,16.8,0.157,0.3636,110,9,0.33,0.2818,0.4085,0.3521,93,2,0.116,0.247,0.4127,0.3175
19251,Pete Alonso,NYM,314,22,0.285,0.204,0.451,0.366,89.6,20.1,0.146,0.3646,354,26,0.288,0.2232,0.4688,0.3259,836,49,0.255,0.207,0.4243,0.3791
20503,William Contreras,ATL,131,9,0.302,0.26,0.329,0.378,90.3,5.9,0.171,0.5926,85,5,0.264,0.2824,0.3333,0.5,241,12,0.217,0.282,0.3154,0.3
5417,Jose Altuve,HOU,251,15,0.261,0.171,0.403,0.318,85.6,17.1,0.084,0.3099,319,14,0.201,0.163,0.4027,0.3556,820,37,0.208,0.148,0.3642,0.2918
18568,Luis Arraez,MIN,262,4,0.092,0.076,0.286,0.29,88.6,10.2,0.038,0.4,202, -   ,0.045,0.1337,0.2895,0.2368,660,6,0.096,0.079,0.2821,0.2985
14161,Byron Buxton,MIN,228,19,0.351,0.263,0.49,0.399,92.4,20.3,0.161,0.4,179,14,0.331,0.2682,0.3782,0.4202,438,37,0.344,0.251,0.4795,0.3925
11609,Willson Contreras,CHC,274,12,0.225,0.204,0.343,0.463,91.3,9.6,0.103,0.5167,249,15,0.276,0.249,0.3974,0.4013,733,25,0.172,0.258,0.3155,0.406
24617,Jarren Duran,BOS,57, -   ,0.173,0.193,0.3,0.341,90.7,7.4,0.073,0.5,40, -   ,0.077,0.3,0.2143,0.3214,129,2,0.158,0.302,0.3418,0.3951
23264,Canaan Smith-Njigba,PIT,7, -   ,0.2, -   ,0.2,0.4,93.3,0.7,0.2,1, -   , -   , -   , -   , -   , -   ,7, -   ,0.2, -   ,0.2,0.4
16535,Danny Jansen,TOR,62,7,0.393,0.161,0.574,0.426,89,22.1,0.213,0.5185,132,4,0.143,0.2197,0.4706,0.2184,282,20,0.294,0.199,0.445,0.3505
13145,Josh Bell,WSN,310,11,0.184,0.135,0.32,0.285,89.2,8.4,0.078,0.3288,355,15,0.194,0.1493,0.2984,0.3145,746,31,0.189,0.2,0.2712,0.375
17982,Ty France,SEA,311,10,0.16,0.138,0.288,0.335,89.1,9.9,0.06,0.3433,355,12,0.172,0.1634,0.3115,0.3462,761,20,0.15,0.168,0.3047,0.3266
12161,Xander Bogaerts,BOS,296,6,0.146,0.203,0.319,0.304,88.3,10,0.074,0.2154,346,12,0.169,0.1936,0.3178,0.3178,778,28,0.192,0.189,0.3736,0.352
13611,Mookie Betts,LAD,275,17,0.261,0.171,0.467,0.347,90.1,18.1,0.095,0.3978,291,11,0.183,0.2027,0.4103,0.3795,780,45,0.267,0.144,0.4623,0.4098
5361,Freddie Freeman,LAD,321,8,0.186,0.174,0.347,0.356,91.5,14.2,0.111,0.5128,355,11,0.166,0.1972,0.2992,0.3607,923,41,0.238,0.141,0.3553,0.3951
