rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,EV,Barrel%,HardHit%,BB%,K%,SwStr%,Pitches,SB,CS
205,Aaron Judge,NYY,14,55,48,8,4,54.5%,22.2%,.167,.438,.271,94.1,20.6%,52.9%,27.3%,10.9%,14.0%,228,2,0
206,Tommy Pham,CIN,11,47,44,11,2,29.0%,22.2%,.250,.386,.136,95.4,6.5%,51.6%,27.7%,4.3%,10.3%,195,1,1
207,Leury Garcia,CHW,10,38,34,9,0,17.2%,0.0%,.265,.324,.059,89.0,3.4%,41.4%,13.2%,10.5%,13.0%,162,0,0
208,Bobby Witt Jr.,KCR,12,52,47,9,3,54.3%,15.8%,.191,.447,.255,89.7,14.3%,42.9%,23.1%,9.6%,8.5%,201,2,0
209,Austin Hays,BAL,12,50,49,11,2,63.2%,8.3%,.224,.469,.245,87.6,13.2%,39.5%,22.0%,0.0%,13.4%,157,0,0
210,Jorge Mateo,BAL,12,40,32,5,2,65.0%,15.4%,.156,.375,.219,86.5,10.0%,20.0%,32.5%,15.0%,14.0%,164,2,0
211,Darin Ruf,SFG,11,37,34,8,1,43.5%,10.0%,.235,.382,.147,90.3,13.0%,43.5%,29.7%,5.4%,11.9%,151,0,0
212,Francisco Mejia,TBR,10,31,31,7,2,47.8%,18.2%,.226,.484,.258,86.2,8.7%,26.1%,25.8%,0.0%,18.1%,105,0,0
213,Yu Chang,PIT,5,13,10,2,0,33.3%,0.0%,.200,.200,.000,89.5,0.0%,16.7%,30.8%,7.7%,15.7%,51,0,0
214,Austin Nola,SDP,11,36,33,9,0,17.9%,0.0%,.273,.333,.061,90.5,0.0%,39.3%,13.9%,8.3%,5.6%,125,0,0
215,Tyler Heineman,PIT,7,19,19,6,0,56.3%,0.0%,.316,.368,.053,84.6,0.0%,5.9%,10.5%,0.0%,9.9%,71,0,0
216,Gavin Lux,LAD,11,44,41,12,0,30.3%,0.0%,.293,.366,.073,90.2,6.1%,45.5%,20.5%,4.5%,8.5%,176,0,0
217,Jake Meyers,HOU,8,29,29,8,1,16.7%,33.3%,.276,.414,.138,89.0,11.1%,50.0%,37.9%,0.0%,13.2%,121,0,0
218,Andrew Vaughn,CHW,12,55,51,13,1,20.0%,12.5%,.255,.392,.137,96.5,7.5%,65.0%,21.8%,5.5%,10.0%,210,0,0
219,Bo Bichette,TOR,14,65,62,15,2,33.3%,13.3%,.242,.403,.161,90.8,13.3%,42.2%,26.2%,4.6%,10.0%,221,1,1
220,Michael Chavis,PIT,12,40,37,7,3,50.0%,25.0%,.189,.432,.243,82.7,12.5%,37.5%,32.5%,7.5%,15.8%,152,0,0
221,Max Muncy,LAD,13,52,46,9,3,51.5%,17.6%,.196,.413,.217,88.6,15.2%,39.4%,26.9%,9.6%,11.2%,214,0,0
222,Bryan De La Cruz,MIA,11,27,26,6,1,40.0%,12.5%,.231,.423,.192,96.1,20.0%,60.0%,22.2%,3.7%,9.4%,96,0,0
223,Elias Diaz,COL,9,31,30,6,2,40.9%,22.2%,.200,.467,.267,85.6,4.5%,22.7%,25.8%,3.2%,11.3%,115,0,0
224,Jesus Sanchez,MIA,11,44,40,7,3,34.6%,33.3%,.175,.425,.250,90.3,15.4%,46.2%,31.8%,9.1%,14.8%,182,0,0
