rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,EV,Barrel%,HardHit%,BB%,K%,SwStr%,Pitches,SB,CS
255,Cam Gallagher,KCR,4,13,11,2,0,50.0%,0.0%,.182,.364,.182,90.2,0.0%,33.3%,23.1%,7.7%,10.3%,58,0,0
256,Christian Bethancourt,OAK,8,29,26,6,0,47.6%,0.0%,.231,.269,.038,91.3,4.8%,33.3%,17.2%,10.3%,16.8%,113,0,1
257,Hoy Park,PIT,11,34,27,5,1,50.0%,9.1%,.185,.333,.148,88.2,13.0%,30.4%,20.6%,8.8%,6.6%,121,1,0
258,Andrelton Simmons,CHC,6,13,8,0,0,57.1%,0.0%,.000,.000,.000,84.1,0.0%,28.6%,7.7%,38.5%,2.2%,46,1,0
259,Jesus Aguilar,MIA,11,48,46,11,1,37.1%,7.7%,.239,.348,.109,86.9,5.6%,44.4%,22.9%,0.0%,8.9%,203,0,0
260,Tim Anderson,CHW,11,53,50,13,0,20.0%,0.0%,.260,.280,.020,90.9,2.5%,45.0%,18.9%,5.7%,12.3%,163,2,0
261,Josh Donaldson,NYY,12,48,44,9,0,41.9%,0.0%,.205,.318,.114,92.3,6.5%,48.4%,27.1%,8.3%,17.7%,203,0,0
262,Xander Bogaerts,BOS,11,48,40,8,0,29.0%,0.0%,.200,.225,.025,85.0,3.2%,35.5%,18.8%,14.6%,4.8%,186,0,0
263,Cesar Hernandez,WSN,11,48,40,7,0,39.4%,0.0%,.175,.225,.050,80.4,0.0%,26.5%,12.5%,16.7%,7.4%,189,0,0
264,Kevin Padlo,SEA,6,11,10,2,0,40.0%,0.0%,.200,.300,.100,97.5,0.0%,60.0%,45.5%,9.1%,15.2%,46,0,0
265,Kyle Isbel,KCR,11,23,23,4,2,47.1%,25.0%,.174,.435,.261,89.8,11.8%,35.3%,26.1%,0.0%,6.2%,97,1,0
266,Nelson Cruz,WSN,11,46,42,8,1,30.0%,11.1%,.190,.310,.119,96.7,16.7%,70.0%,26.1%,8.7%,12.2%,180,0,0
267,Yonathan Daza,COL,9,36,34,8,0,20.0%,0.0%,.235,.294,.059,88.5,0.0%,33.3%,11.1%,5.6%,7.2%,139,0,0
268,Trevor Story,BOS,12,44,41,9,2,41.4%,16.7%,.220,.390,.171,89.1,10.3%,41.4%,29.5%,4.5%,14.5%,166,2,0
269,Trent Grisham,SDP,12,42,38,7,2,40.0%,20.0%,.184,.342,.158,81.8,7.4%,18.5%,28.6%,7.1%,11.9%,160,0,0
270,Jorge Soler,MIA,8,34,30,6,1,31.8%,14.3%,.200,.300,.100,88.2,9.1%,27.3%,26.5%,8.8%,15.3%,144,0,0
271,Albert Almora Jr.,CIN,11,42,41,8,2,23.3%,28.6%,.195,.366,.171,84.8,3.3%,26.7%,26.2%,0.0%,14.9%,141,0,0
272,Justin Upton,SEA,9,30,26,4,1,46.2%,16.7%,.154,.269,.115,88.1,7.7%,30.8%,43.3%,10.0%,16.7%,120,0,0
273,Cody Bellinger,LAD,12,48,44,8,3,50.0%,18.8%,.182,.386,.205,89.6,9.4%,37.5%,29.2%,4.2%,13.8%,195,1,0
274,David MacKinnon,LAA,11,28,22,4,0,29.4%,0.0%,.182,.182,.000,83.6,0.0%,17.6%,21.4%,17.9%,8.3%,132,0,0
275,Daulton Varsho,ARI,11,45,43,8,2,41.2%,14.3%,.186,.349,.163,88.0,8.6%,40.0%,17.8%,2.2%,10.8%,158,0,0
276,Matt Chapman,TOR,14,53,49,9,2,65.7%,8.7%,.184,.388,.204,94.2,17.1%,60.0%,30.2%,3.8%,10.6%,245,0,0
277,William Contreras,ATL,9,34,30,6,0,22.7%,0.0%,.200,.233,.033,90.9,4.5%,45.5%,23.5%,11.8%,10.5%,143,1,0
278,Elehuris Montero,COL,5,15,14,3,0,75.0%,0.0%,.214,.286,.071,98.3,25.0%,62.5%,40.0%,6.7%,21.7%,69,0,0
279,Luke Voit,SDP,12,44,40,7,1,45.5%,10.0%,.175,.300,.125,94.0,27.3%,50.0%,40.9%,9.1%,24.3%,189,0,0
280,Thairo Estrada,SFG,8,32,30,6,1,27.3%,16.7%,.200,.300,.100,87.9,8.7%,39.1%,21.9%,3.1%,8.4%,107,2,0
281,Wander Franco,TBR,8,37,34,7,1,31.3%,10.0%,.206,.324,.118,86.1,3.1%,31.3%,8.1%,5.4%,4.7%,127,0,0
282,Jake Cronenworth,SDP,12,53,46,7,1,52.9%,5.6%,.152,.261,.109,87.7,5.7%,28.6%,20.8%,7.5%,8.3%,205,1,0
283,Austin Hedges,CLE,4,14,12,1,1,42.9%,33.3%,.083,.333,.250,71.6,0.0%,14.3%,35.7%,14.3%,8.0%,50,0,0
284,LaMonte Wade Jr.,SFG,3,12,12,2,1,70.0%,14.3%,.167,.417,.250,82.9,10.0%,30.0%,16.7%,0.0%,4.4%,45,0,0
285,Austin Barnes,LAD,6,20,16,2,0,38.5%,0.0%,.125,.188,.063,93.7,7.7%,61.5%,15.0%,20.0%,3.9%,77,2,0
286,Rougned Odor,BAL,9,28,26,4,1,61.5%,12.5%,.154,.346,.192,94.1,30.8%,53.8%,46.4%,7.1%,14.2%,134,0,0
287,Jared Walsh,LAA,12,42,42,9,1,35.7%,10.0%,.214,.357,.143,88.3,7.1%,46.4%,33.3%,0.0%,10.5%,162,0,0
288,J.D. Davis,NYM,7,24,20,3,0,33.3%,0.0%,.150,.200,.050,93.6,11.1%,55.6%,45.8%,12.5%,20.4%,93,0,0
289,Brad Miller,TEX,6,19,18,4,0,46.2%,0.0%,.222,.278,.056,90.6,0.0%,30.8%,26.3%,5.3%,20.8%,77,0,0
290,Anthony Santander,BAL,11,46,43,7,3,54.3%,15.8%,.163,.372,.209,89.2,8.6%,37.1%,19.6%,4.3%,8.2%,195,0,0
291,Jose Herrera,ARI,4,12,11,3,0,44.4%,0.0%,.273,.273,.000,87.0,0.0%,10.0%,16.7%,0.0%,2.6%,39,0,0
292,Jeff McNeil,NYM,6,17,16,3,0,9.1%,0.0%,.188,.313,.125,80.3,0.0%,36.4%,29.4%,5.9%,12.3%,57,0,0
293,Aledmys Diaz,HOU,7,22,20,4,0,18.8%,0.0%,.200,.250,.050,85.9,0.0%,18.8%,18.2%,9.1%,11.8%,93,0,0
294,Vidal Brujan,TBR,12,34,29,4,1,41.2%,14.3%,.138,.241,.103,88.2,5.9%,35.3%,35.3%,14.7%,9.7%,144,2,0
295,Chris Taylor,LAD,12,46,42,8,0,22.7%,0.0%,.190,.262,.071,80.1,4.5%,22.7%,43.5%,6.5%,20.0%,190,2,0
296,Michael Papierski,CIN,5,14,13,3,0,25.0%,0.0%,.231,.231,.000,79.3,0.0%,0.0%,35.7%,7.1%,14.3%,49,0,0
297,Michael Brantley,HOU,6,26,24,5,0,42.9%,0.0%,.208,.250,.042,88.7,4.8%,33.3%,11.5%,7.7%,6.2%,97,0,0
298,Jose Trevino,NYY,10,37,35,6,2,41.4%,16.7%,.171,.371,.200,91.4,10.3%,48.3%,18.9%,2.7%,14.0%,143,0,0
299,CJ Abrams,SDP,12,40,39,9,0,37.9%,0.0%,.231,.282,.051,83.9,3.2%,25.8%,20.0%,0.0%,13.7%,124,0,0
300,Ke'Bryan Hayes,PIT,11,47,44,8,1,32.4%,9.1%,.182,.295,.114,90.3,2.9%,44.1%,21.3%,6.4%,9.6%,167,1,0
301,Mike Yastrzemski,SFG,12,52,48,7,2,34.4%,18.2%,.146,.313,.167,88.9,6.3%,46.9%,30.8%,7.7%,10.6%,235,1,0
302,Corey Seager,TEX,11,47,44,9,0,35.1%,0.0%,.205,.250,.045,87.6,8.1%,35.1%,14.9%,2.1%,12.9%,147,0,0
303,Odubel Herrera,PHI,7,26,25,6,0,27.8%,0.0%,.240,.240,.000,88.2,0.0%,42.1%,23.1%,3.8%,12.0%,92,1,0
304,Mauricio Dubon,HOU,9,23,21,4,0,50.0%,0.0%,.190,.238,.048,78.6,5.0%,15.0%,4.3%,8.7%,7.8%,77,0,2
305,Gary Sanchez,MIN,12,46,45,9,1,33.3%,10.0%,.200,.311,.111,86.9,16.7%,36.7%,32.6%,2.2%,14.4%,167,0,0
306,Victor Robles,WSN,10,21,18,3,0,25.0%,0.0%,.167,.167,.000,76.8,0.0%,16.7%,28.6%,4.8%,16.2%,68,1,0
307,Tony Kemp,OAK,12,43,38,6,1,57.1%,6.3%,.158,.289,.132,82.5,0.0%,10.0%,23.3%,4.7%,4.8%,165,2,0
308,Jason Heyward,CHC,5,18,16,3,0,53.3%,0.0%,.188,.188,.000,91.0,6.7%,33.3%,5.6%,0.0%,8.5%,59,0,0
309,Martin Maldonado,HOU,9,32,30,4,2,41.2%,28.6%,.133,.333,.200,89.4,11.8%,41.2%,40.6%,6.3%,17.3%,133,0,0
310,Bryce Harper,PHI,4,14,12,2,0,42.9%,0.0%,.167,.167,.000,87.9,0.0%,25.0%,28.6%,7.1%,14.8%,61,1,0
311,Jason Castro,HOU,4,13,13,2,1,33.3%,50.0%,.154,.385,.231,91.6,16.7%,66.7%,53.8%,0.0%,26.1%,46,1,0
312,Jacob Stallings,MIA,8,29,26,5,0,43.5%,0.0%,.192,.192,.000,81.0,0.0%,17.4%,10.3%,10.3%,5.8%,120,0,0
313,Luis Torrens,SEA,3,11,10,2,0,33.3%,0.0%,.200,.200,.000,82.9,0.0%,16.7%,36.4%,9.1%,14.3%,42,0,0
314,Gleyber Torres,NYY,11,41,36,6,0,40.7%,0.0%,.167,.194,.028,87.6,0.0%,33.3%,22.0%,12.2%,13.0%,177,3,0
315,Josh VanMeter,PIT,5,20,17,3,0,52.9%,0.0%,.176,.235,.059,92.4,0.0%,41.2%,5.0%,10.0%,1.3%,79,0,0
316,Jonathan Schoop,DET,9,36,35,6,1,32.0%,12.5%,.171,.314,.143,88.0,8.0%,44.0%,27.8%,2.8%,12.8%,125,0,0
317,Gabriel Moreno,TOR,10,29,28,6,0,34.6%,0.0%,.214,.250,.036,88.9,3.8%,30.8%,6.9%,3.4%,7.4%,94,0,0
318,Oscar Gonzalez,CLE,10,38,37,6,1,33.3%,11.1%,.162,.324,.162,87.6,0.0%,33.3%,26.3%,2.6%,13.2%,152,0,0
319,Nick Castellanos,PHI,12,50,50,11,1,37.5%,6.7%,.220,.280,.060,86.0,5.0%,25.0%,20.0%,0.0%,18.2%,170,2,1
320,Lars Nootbaar,STL,11,24,22,3,1,37.5%,16.7%,.136,.273,.136,91.7,6.3%,43.8%,25.0%,8.3%,10.2%,88,0,0
321,Jonathan Davis,MIL,9,29,25,4,0,25.0%,0.0%,.160,.160,.000,83.7,0.0%,18.8%,31.0%,13.8%,10.2%,118,3,0
322,Mike Moustakas,CIN,7,23,22,4,0,53.8%,0.0%,.182,.273,.091,84.5,0.0%,23.1%,39.1%,4.3%,18.3%,93,0,0
323,Richie Palacios,CLE,9,17,13,1,0,22.2%,0.0%,.077,.077,.000,84.0,0.0%,22.2%,23.5%,17.6%,11.9%,84,0,0
324,Didi Gregorius,PHI,9,36,34,6,0,42.9%,0.0%,.176,.265,.088,86.9,3.6%,25.0%,16.7%,5.6%,14.8%,135,0,0
325,Myles Straw,CLE,13,48,42,6,0,41.4%,0.0%,.143,.190,.048,87.8,0.0%,31.0%,27.1%,10.4%,6.2%,226,1,0
326,Jonathan Arauz,BAL,5,18,18,3,1,54.5%,16.7%,.167,.333,.167,87.4,9.1%,36.4%,38.9%,0.0%,15.2%,79,0,0
327,Yoan Moncada,CHW,5,22,21,4,0,30.8%,0.0%,.190,.238,.048,89.7,15.4%,46.2%,36.4%,0.0%,16.8%,101,0,0
328,Tommy Edman,STL,13,53,51,10,0,23.7%,0.0%,.196,.235,.039,86.7,5.3%,28.9%,24.5%,3.8%,10.6%,189,4,1
329,Cristian Pache,OAK,8,21,21,4,0,20.0%,0.0%,.190,.286,.095,93.5,0.0%,60.0%,28.6%,0.0%,13.0%,69,0,0
330,Manny Machado,SDP,4,14,13,2,0,20.0%,0.0%,.154,.231,.077,87.9,0.0%,40.0%,57.1%,7.1%,20.7%,58,0,0
331,Adam Frazier,SEA,13,42,38,6,0,30.3%,0.0%,.158,.184,.026,83.4,0.0%,5.9%,9.5%,9.5%,6.0%,149,0,1
332,J.D. Martinez,BOS,11,50,44,7,0,48.5%,0.0%,.159,.182,.023,88.1,6.1%,36.4%,24.0%,8.0%,11.9%,202,0,0
333,Gilberto Celestino,MIN,11,27,26,4,0,19.0%,0.0%,.154,.269,.115,87.4,4.8%,38.1%,18.5%,3.7%,10.2%,98,0,0
334,Ehire Adrianza,WSN,6,16,13,2,0,50.0%,0.0%,.154,.154,.000,93.5,0.0%,42.9%,43.8%,12.5%,11.9%,67,0,0
335,James McCann,NYM,5,18,16,2,0,18.2%,0.0%,.125,.188,.063,94.0,18.2%,45.5%,27.8%,11.1%,11.3%,71,0,0
336,Matt Reynolds,CIN,8,18,16,2,0,50.0%,0.0%,.125,.188,.063,92.0,0.0%,50.0%,44.4%,11.1%,17.7%,79,0,0
337,Matt Duffy,LAA,6,19,18,3,0,15.4%,0.0%,.167,.222,.056,87.9,7.7%,30.8%,26.3%,5.3%,8.6%,81,0,0
338,Ryan McKenna,BAL,6,11,11,2,0,80.0%,0.0%,.182,.273,.091,81.5,20.0%,20.0%,54.5%,0.0%,23.5%,34,0,0
339,Stephen Vogt,OAK,8,22,21,4,0,53.3%,0.0%,.190,.190,.000,83.8,0.0%,26.7%,27.3%,4.5%,9.6%,94,0,0
340,Brian Serven,COL,3,13,12,2,0,33.3%,0.0%,.167,.167,.000,82.6,0.0%,11.1%,23.1%,7.7%,13.5%,52,0,0
341,Isiah Kiner-Falefa,NYY,9,31,27,4,0,20.8%,0.0%,.148,.148,.000,87.3,0.0%,20.0%,9.7%,3.2%,4.9%,103,2,1
342,Luis Guillorme,NYM,11,36,36,7,0,7.1%,0.0%,.194,.222,.028,90.4,0.0%,27.6%,19.4%,0.0%,5.2%,135,0,0
343,Andrew Velazquez,LAA,12,31,29,4,1,40.0%,16.7%,.138,.241,.103,89.3,6.3%,31.3%,45.2%,3.2%,16.3%,123,1,0
344,Robinson Chirinos,BAL,4,14,11,1,0,28.6%,0.0%,.091,.091,.000,82.1,0.0%,37.5%,28.6%,0.0%,9.8%,41,0,0
345,Yan Gomes,CHC,10,38,37,6,0,25.0%,0.0%,.162,.216,.054,81.1,0.0%,22.2%,2.6%,0.0%,7.1%,127,0,0
346,Donovan Walton,SFG,7,17,17,3,0,50.0%,0.0%,.176,.235,.059,85.7,0.0%,33.3%,29.4%,0.0%,9.2%,76,0,0
347,Josh Lowe,TBR,11,43,42,7,0,40.7%,0.0%,.167,.214,.048,89.3,7.4%,40.7%,34.9%,2.3%,14.8%,182,1,0
348,Tucker Barnhart,DET,6,16,15,2,0,54.5%,0.0%,.133,.200,.067,80.5,0.0%,9.1%,25.0%,6.3%,7.4%,68,0,0
349,Rene Pinto,TBR,6,20,20,4,0,27.3%,0.0%,.200,.200,.000,89.7,0.0%,18.2%,45.0%,0.0%,20.8%,77,0,0
350,Jonah Bride,OAK,6,23,21,3,0,57.9%,0.0%,.143,.143,.000,89.1,5.3%,31.6%,8.7%,8.7%,3.7%,107,0,0
351,Ivan Herrera,STL,8,19,15,2,0,36.4%,0.0%,.133,.133,.000,85.2,0.0%,16.7%,26.3%,10.5%,8.4%,83,0,0
352,Andrew Knizner,STL,10,22,19,2,0,40.0%,0.0%,.105,.105,.000,83.3,0.0%,26.7%,18.2%,13.6%,8.9%,90,0,0
353,Orlando Arcia,ATL,12,47,43,6,0,33.3%,0.0%,.140,.140,.000,86.1,0.0%,40.0%,27.7%,6.4%,13.0%,184,0,0
354,A.J. Pollock,CHW,13,41,39,6,0,40.0%,0.0%,.154,.179,.026,86.4,6.7%,26.7%,22.0%,4.9%,15.8%,152,0,0
355,Brandon Belt,SFG,10,33,30,4,0,60.0%,0.0%,.133,.133,.000,85.9,6.7%,33.3%,45.5%,6.1%,18.4%,141,0,0
356,Max Stassi,LAA,10,31,26,2,0,33.3%,0.0%,.077,.077,.000,87.9,6.7%,33.3%,35.5%,16.1%,18.0%,122,0,0
357,Stephen Piscotty,OAK,5,18,18,3,0,22.2%,0.0%,.167,.222,.056,75.9,0.0%,22.2%,50.0%,0.0%,27.3%,77,0,0
358,Luke Maile,CLE,8,21,19,2,0,46.7%,0.0%,.105,.158,.053,89.7,0.0%,33.3%,19.0%,9.5%,8.2%,97,0,0
359,Max Schrock,CIN,7,20,19,3,0,28.6%,0.0%,.158,.158,.000,84.6,0.0%,28.6%,25.0%,5.0%,11.9%,67,0,0
360,Mark Canha,NYM,9,36,33,3,1,29.2%,14.3%,.091,.182,.091,89.5,4.2%,50.0%,25.0%,5.6%,11.5%,148,0,0
361,Brandon Marsh,LAA,12,34,32,4,0,33.3%,0.0%,.125,.219,.094,87.3,0.0%,26.3%,41.2%,2.9%,16.8%,131,0,0
362,Maikel Franco,WSN,8,28,26,2,1,35.3%,16.7%,.077,.192,.115,84.7,5.9%,23.5%,32.1%,7.1%,19.0%,116,0,0
363,Harrison Bader,STL,7,23,21,2,0,46.2%,0.0%,.095,.143,.048,81.9,7.7%,15.4%,34.8%,4.3%,14.4%,97,0,0
364,Geraldo Perdomo,ARI,10,38,34,3,0,26.9%,0.0%,.088,.118,.029,87.7,0.0%,19.2%,21.1%,10.5%,8.4%,154,1,0
365,Buddy Kennedy,ARI,10,34,30,3,0,36.4%,0.0%,.100,.133,.033,89.1,0.0%,40.9%,26.5%,5.9%,8.3%,120,0,0
366,Lenyn Sosa,CHW,4,13,12,1,0,11.1%,0.0%,.083,.167,.083,86.9,0.0%,11.1%,23.1%,7.7%,14.3%,42,0,0
367,J.P. Crawford,SEA,9,38,35,4,0,32.1%,0.0%,.114,.171,.057,84.7,0.0%,17.9%,21.1%,2.6%,4.9%,143,0,0
368,MJ Melendez,KCR,11,45,41,4,0,31.0%,0.0%,.098,.122,.024,86.3,0.0%,24.1%,26.7%,8.9%,13.0%,162,0,0
369,Owen Miller,CLE,13,39,35,4,0,31.0%,0.0%,.114,.114,.000,85.8,0.0%,34.5%,17.9%,5.1%,8.3%,145,0,0
370,Jackie Bradley Jr.,BOS,11,32,29,2,0,59.1%,0.0%,.069,.138,.069,91.1,18.2%,40.9%,21.9%,9.4%,18.3%,115,1,0
371,Chad Pinder,OAK,8,28,28,4,0,21.1%,0.0%,.143,.179,.036,82.7,5.3%,36.8%,32.1%,0.0%,19.4%,98,0,0
372,Riley Adams,WSN,3,10,8,0,0,40.0%,0.0%,.000,.000,.000,85.2,0.0%,40.0%,30.0%,20.0%,15.9%,44,0,1
373,Tomas Nido,NYM,6,17,15,1,0,23.1%,0.0%,.067,.067,.000,86.1,0.0%,30.8%,11.8%,11.8%,22.8%,57,0,0
374,Joey Gallo,NYY,11,31,27,1,0,72.7%,0.0%,.037,.037,.000,87.3,18.2%,45.5%,51.6%,12.9%,15.3%,131,0,0
375,Mickey Moniak,PHI,5,11,11,1,0,50.0%,0.0%,.091,.182,.091,82.9,12.5%,25.0%,27.3%,0.0%,10.3%,39,0,0
376,Richie Martin,BAL,7,16,15,1,0,40.0%,0.0%,.067,.067,.000,77.6,0.0%,10.0%,31.3%,6.3%,11.5%,61,3,1
377,Brett Phillips,TBR,9,22,19,0,0,40.0%,0.0%,.000,.000,.000,82.0,0.0%,20.0%,40.9%,9.1%,13.0%,92,0,0
378,Reese McGuire,CHW,7,19,19,2,0,71.4%,0.0%,.105,.105,.000,81.3,0.0%,13.3%,21.1%,0.0%,9.7%,72,0,0
379,Skye Bolt,OAK,4,10,10,1,0,50.0%,0.0%,.100,.100,.000,95.1,0.0%,50.0%,40.0%,0.0%,28.9%,38,1,0
380,Calvin Mitchell,PIT,4,10,10,1,0,20.0%,0.0%,.100,.100,.000,89.3,0.0%,40.0%,50.0%,0.0%,15.2%,33,0,0
381,Eddy Alvarez,LAD,5,12,10,1,0,20.0%,0.0%,.100,.100,.000,85.5,0.0%,16.7%,50.0%,0.0%,10.9%,46,0,0
382,Albert Pujols,STL,5,12,11,1,0,33.3%,0.0%,.091,.091,.000,86.4,0.0%,33.3%,25.0%,0.0%,11.1%,45,0,0
383,Johan Camargo,PHI,3,10,9,0,0,50.0%,0.0%,.000,.000,.000,91.1,0.0%,33.3%,30.0%,10.0%,18.4%,49,0,0
384,Kyle Higashioka,NYY,5,13,12,1,0,50.0%,0.0%,.083,.083,.000,89.4,0.0%,30.0%,23.1%,0.0%,19.6%,51,0,0
385,Ernie Clement,CLE,9,17,17,1,0,40.0%,0.0%,.059,.059,.000,82.6,0.0%,20.0%,11.8%,0.0%,7.1%,56,0,0
