rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
118,Justin Upton,- - -,64,128,108,23,8,48.5%,24.2%,.213,.463,.250,14.8%,31.3%
119,Jorge Alfaro,- - -,66,127,122,33,7,28.0%,33.3%,.270,.516,.246,3.9%,37.0%
120,Kyle Schwarber,- - -,133,281,232,55,11,45.9%,16.2%,.237,.414,.177,14.9%,30.2%
121,Matt Chapman,- - -,123,260,228,54,16,48.4%,20.8%,.237,.491,.254,11.2%,27.7%
122,Elias Diaz,COL,100,209,191,52,8,38.4%,13.8%,.272,.466,.194,8.6%,19.1%
123,Will Smith,LAD,106,204,176,45,10,44.8%,15.4%,.256,.455,.199,11.8%,15.7%
124,Freddie Freeman,- - -,148,307,271,73,10,32.4%,14.5%,.269,.439,.170,9.1%,19.5%
125,Rafael Devers,BOS,161,337,307,89,9,26.7%,13.8%,.290,.436,.147,6.8%,18.7%
126,Yonathan Daza,COL,90,190,175,57,1,24.1%,2.9%,.326,.417,.091,6.3%,15.8%
127,Christian Walker,ARI,111,217,183,47,5,42.0%,7.9%,.257,.415,.158,14.3%,15.7%
128,Brandon Belt,SFG,73,114,91,20,5,50.8%,15.2%,.220,.396,.176,16.7%,21.9%
129,Avisail Garcia,- - -,98,174,148,37,7,33.9%,18.9%,.250,.446,.196,12.6%,23.0%
130,Manuel Margot,TBR,120,259,230,67,4,33.0%,6.2%,.291,.413,.122,10.4%,12.0%
131,Aledmys Diaz,HOU,72,148,134,36,5,38.2%,11.9%,.269,.455,.187,8.8%,16.2%
132,Nick Madrigal,- - -,56,106,101,32,2,20.2%,10.5%,.317,.446,.129,3.8%,6.6%
133,Jonathan Schoop,DET,117,265,243,70,10,35.4%,14.7%,.288,.461,.173,6.4%,20.8%
134,Ian Happ,CHC,114,190,166,45,5,30.4%,14.3%,.271,.422,.151,9.5%,26.8%
135,Tommy Edman,STL,108,233,218,61,7,35.1%,10.6%,.280,.472,.193,5.2%,13.3%
136,Randal Grichuk,- - -,113,223,208,57,9,45.2%,12.0%,.274,.476,.202,5.4%,19.7%
137,Andy Ibanez,TEX,64,141,135,41,3,45.0%,5.6%,.304,.444,.141,3.5%,10.6%
138,Jake Cronenworth,SDP,161,316,279,75,7,35.8%,9.0%,.269,.419,.151,7.3%,19.3%
139,Willy Adames,- - -,117,229,205,48,12,52.2%,16.9%,.234,.468,.234,10.5%,30.1%
140,Rougned Odor,- - -,84,154,135,31,8,44.2%,19.0%,.230,.444,.215,9.1%,23.4%
141,Charlie Blackmon,COL,126,250,222,63,4,32.4%,6.8%,.284,.392,.108,9.2%,15.6%
142,Ryan Jeffers,MIN,80,157,140,35,7,39.6%,19.4%,.250,.443,.193,10.2%,31.2%
143,Jordan Luplow,- - -,74,171,141,25,12,59.8%,21.8%,.177,.461,.284,17.0%,29.2%
144,Victor Caratini,- - -,76,129,111,30,4,30.8%,16.7%,.270,.396,.126,9.3%,26.4%
145,David Fletcher,LAA,101,218,200,61,2,30.6%,3.5%,.305,.400,.095,7.8%,5.5%
146,Josh Rojas,ARI,102,202,178,49,5,28.7%,14.3%,.275,.404,.129,9.9%,27.7%
147,Josh Harrison,- - -,105,207,186,53,3,32.9%,5.8%,.285,.398,.113,4.3%,13.5%
148,Marcus Semien,- - -,127,286,257,63,13,47.0%,13.7%,.245,.459,.214,9.1%,19.9%
149,Jonathan India,CIN,96,188,165,45,3,34.8%,6.5%,.273,.388,.115,9.6%,17.6%
150,Dominic Smith,NYM,95,157,138,41,2,29.4%,6.3%,.297,.391,.094,8.3%,20.4%
151,Francisco Mejia,TBR,78,158,147,43,3,30.0%,8.3%,.293,.415,.122,7.0%,17.1%
152,Yan Gomes,- - -,81,175,170,48,8,34.3%,17.0%,.282,.482,.200,1.7%,19.4%
153,Wilmer Flores,SFG,120,230,207,55,8,41.3%,11.3%,.266,.435,.169,7.8%,16.1%
154,Ha-seong Kim,SDP,103,189,161,40,4,38.6%,7.8%,.248,.404,.155,12.7%,15.9%
155,Franmil Reyes,CLE,94,201,179,43,10,40.4%,21.7%,.240,.453,.212,10.4%,32.3%
156,Carlos Santana,- - -,118,251,222,63,5,21.8%,11.6%,.284,.383,.099,10.8%,10.0%
