Team,Ballpark,Date,Count,Starter HR,BP HR,Top 6 Profit,Lineup Profit,Weather,Time,Series Game,Opp,Starter,Starter Stats,HR1,Odds,HR2,Odds,HR3,Odds,HR4,Odds,HR5,Odds,HR6,Odds,HR7,Odds,HR8,Odds,HR9,Odds
LAA,Angel Stadium,4/25/2022,2,,, $(60.00), $(90.00),82,,,,,,,,,,,,,,,,,,,,,,,
COL,Citizens Bank Park,4/25/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TOR,Rogers Centre,4/25/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
COL,Citizens Bank Park,4/26/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SD,Great American Ball Park,4/26/2022,2,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
SF,Oracle Park,4/26/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIL,PNC Park,4/26/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TB,Tropicana Field,4/26/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
BAL,Yankee Stadium,4/26/2022,2,,, $(60.00), $(90.00),56,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,4/26/2022,5,,, $(60.00), $(90.00),56,,,,,,,,,,,,,,,,,,,,,,,
CLE,Angel Stadium,4/27/2022,2,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
CIN,Coors Field,4/30/2022,2,,, $(60.00), $(90.00),64,,,,,,,,,,,,,,,,,,,,,,,
SD,Great American Ball Park,4/27/2022,2,,, $(60.00), $(90.00),56,,,,,,,,,,,,,,,,,,,,,,,
CWS,Guaranteed Rate Field,4/27/2022,2,,, $(60.00), $(90.00),39,,,,,,,,,,,,,,,,,,,,,,,
MIN,Target Field,4/27/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SEA,Tropicana Field,4/27/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,4/27/2022,2,,, $(60.00), $(90.00),49,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,4/28/2022,3,,, $(60.00), $(90.00),74,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,4/29/2022,6,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,4/29/2022,2,,, $(60.00), $(90.00),54,,,,,,,,,,,,,,,,,,,,,,,
LAD,Dodger Stadium,4/29/2022,2,,, $(60.00), $(90.00),64,,,,,,,,,,,,,,,,,,,,,,,
ATL,Globe Life Field,4/29/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,4/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAA,Guaranteed Rate Field,4/29/2022,2,,, $(60.00), $(90.00),60,,,,,,,,,,,,,,,,,,,,,,,
NYY,Kauffman Stadium,4/29/2022,4,,, $(60.00), $(90.00),74,,,,,,,,,,,,,,,,,,,,,,,
MIA,Marlins Park,4/29/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
CLE,Oakland Coliseum,4/29/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SF,Oracle Park,4/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SD,PNC Park,4/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
HOU,Rogers Centre,4/29/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TOR,Rogers Centre,4/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TB,Tropicana Field,4/29/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,4/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ARI,Busch Stadium,4/30/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PHI,Citi Field,4/30/2022,2,,, $(60.00), $(90.00),62,,,,,,,,,,,,,,,,,,,,,,,
CIN,American Family Field,5/3/2022,2,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
CWS,Guaranteed Rate Field,4/30/2022,2,,, $(60.00), $(90.00),61,,,,,,,,,,,,,,,,,,,,,,,
SD,PNC Park,4/30/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TOR,Rogers Centre,4/30/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIN,Tropicana Field,4/30/2022,3,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
ARI,Busch Stadium,5/1/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
STL,Busch Stadium,5/1/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PHI,Citi Field,5/1/2022,4,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,5/1/2022,2,,, $(60.00), $(90.00),58,,,,,,,,,,,,,,,,,,,,,,,
DET,Dodger Stadium,5/1/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
NYY,Kauffman Stadium,5/1/2022,2,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
MIA,Marlins Park,5/1/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
SEA,Marlins Park,5/1/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
HOU,Minute Maid Park,5/2/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
CIN,Great American Ball Park,5/8/2022,2,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,5/3/2022,2,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
TEX,Citizens Bank Park,5/3/2022,2,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
CIN,Great American Ball Park,5/9/2022,3,,, $(60.00), $(90.00),78,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,5/3/2022,2,,, $(60.00), $(90.00),50,,,,,,,,,,,,,,,,,,,,,,,
ARI,Marlins Park,5/3/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
HOU,Minute Maid Park,5/3/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
TB,Oakland Coliseum,5/3/2022,2,,, $(60.00), $(90.00),68,,,,,,,,,,,,,,,,,,,,,,,
NYY,Rogers Centre,5/3/2022,2,,, $(60.00), $(90.00),68,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,5/4/2022,3,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
PIT,Comerica Park,5/4/2022,2,,, $(60.00), $(90.00),59,,,,,,,,,,,,,,,,,,,,,,,
LAD,Dodger Stadium,5/4/2022,2,,, $(60.00), $(90.00),67,,,,,,,,,,,,,,,,,,,,,,,
LAA,Fenway Park,5/4/2022,4,,, $(60.00), $(90.00),52,,,,,,,,,,,,,,,,,,,,,,,
STL,Kauffman Stadium,5/4/2022,2,,, $(60.00), $(90.00),54,,,,,,,,,,,,,,,,,,,,,,,
ARI,Marlins Park,5/4/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
MIA,Marlins Park,5/4/2022,3,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
BAL,Oriole Park at Camden Yards,5/4/2022,2,,, $(60.00), $(90.00),68,,,,,,,,,,,,,,,,,,,,,,,
CHC,Wrigley Field,5/4/2022,2,,, $(60.00), $(90.00),52,,,,,,,,,,,,,,,,,,,,,,,
CWS,Wrigley Field,5/4/2022,2,,, $(60.00), $(90.00),52,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,5/5/2022,6,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
NYM,Citizens Bank Park,5/5/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
PHI,Citizens Bank Park,5/5/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,5/5/2022,3,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
CIN,PNC Park,5/13/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAA,Fenway Park,5/5/2022,2,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
HOU,Minute Maid Park,5/5/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
