MLBID,t2,t4,t7,t11,t39,HR_hat,,,,,,,,,,,,,,,,,,,,,
624431,1.056,11.45,0.0337,100.60,87.97,0.075299168,,,,,,,,,,,,,,,,,,,,,
518626,1.056,12.42,0.0439,100.62,87.97,0.159047377,,,,,,,,,,,,,,,,,,,,,
543309,1.056,18.20,0.0430,103.02,87.97,0.098338835,,,,,,,,,,,,,,,,,,,,,
640461,0.842,11.60,0.0336,102.70,86.86,0.126832321,,,,,,,,,,,,,,,,,,,,,
665506,0.842,-0.94,0.0222,103.24,86.86,0.184036824,,,,,,,,,,,,,,,,,,,,,
669397,0.842,5.51,0.0085,96.76,86.86,0.067888533,,,,,,,,,,,,,,,,,,,,,
657656,0.842,15.73,0.0595,101.42,86.86,0.355602328,,,,,,,,,,,,,,,,,,,,,
669221,0.842,11.95,0.0418,103.82,86.86,0.059330597,,,,,,,,,,,,,,,,,,,,,
664913,0.750,15.40,0.0753,103.82,88.07,0.103865963,,,,,,,,,,,,,,,,,,,,,
641914,0.842,4.95,0.0367,100.88,86.86,0.196469123,,,,,,,,,,,,,,,,,,,,,
643393,0.750,14.53,0.0097,90.60,88.07,0.18080261,,,,,,,,,,,,,,,,,,,,,
605353,0.750,9.04,0.0087,91.50,88.07,0.073148246,,,,,,,,,,,,,,,,,,,,,
664761,1.119,15.13,0.0256,102.20,88.74,0.084731156,,,,,,,,,,,,,,,,,,,,,
669016,1.064,6.96,0.0426,100.48,82.81,0.102858187,,,,,,,,,,,,,,,,,,,,,
547180,1.064,4.97,0.0435,104.24,82.81,0.097103245,,,,,,,,,,,,,,,,,,,,,
681082,1.064,13.87,0.0364,99.02,82.81,0.104487902,,,,,,,,,,,,,,,,,,,,,
592663,1.119,12.60,0.0465,102.60,88.74,0.106575246,,,,,,,,,,,,,,,,,,,,,
516416,1.119,8.06,0.0411,101.68,88.74,0.112575603,,,,,,,,,,,,,,,,,,,,,
656941,1.064,17.50,0.0841,105.94,82.81,0.145405248,,,,,,,,,,,,,,,,,,,,,
663837,1.119,14.99,0.0123,102.40,88.74,0.184213008,,,,,,,,,,,,,,,,,,,,,
656555,1.119,20.84,0.0737,102.46,88.74,0.168958076,,,,,,,,,,,,,,,,,,,,,
592325,0.929,10.87,0.0359,99.40,85.20,0.072828317,,,,,,,,,,,,,,,,,,,,,
668804,0.929,14.13,0.0702,104.30,85.20,0.150130152,,,,,,,,,,,,,,,,,,,,,
669261,0.929,17.70,0.0769,97.18,85.20,,,,,,,,,,,,,,,,,,,,,,
642165,0.929,12.47,0.0306,99.32,85.20,0.081123042,,,,,,,,,,,,,,,,,,,,,
663647,0.799,5.89,0.0095,104.92,84.81,0.100979621,,,,,,,,,,,,,,,,,,,,,
621028,0.799,13.35,0.0083,100.06,84.81,0.082261474,,,,,,,,,,,,,,,,,,,,,
656308,0.799,14.48,0.0455,102.40,84.81,0.073935044,,,,,,,,,,,,,,,,,,,,,
665833,0.929,8.73,0.1028,105.84,85.20,0.084157895,,,,,,,,,,,,,,,,,,,,,
666801,0.929,5.35,0.0455,100.46,85.20,0.195314996,,,,,,,,,,,,,,,,,,,,,
672779,0.929,10.10,0.0130,92.16,85.20,0.06948454,,,,,,,,,,,,,,,,,,,,,
543592,1.014,12.30,0.0200,100.06,91.64,0.060994357,,,,,,,,,,,,,,,,,,,,,
592273,1.014,19.91,0.0989,102.34,91.64,0.169087144,,,,,,,,,,,,,,,,,,,,,
673490,1.014,15.09,0.0163,99.40,91.64,0.115707058,,,,,,,,,,,,,,,,,,,,,
630105,0.952,15.85,0.0345,99.08,82.91,0.101312754,,,,,,,,,,,,,,,,,,,,,
595751,1.014,8.47,0.1212,102.10,91.64,,,,,,,,,,,,,,,,,,,,,,
605137,1.014,9.68,0.0486,102.24,91.64,0.107901296,,,,,,,,,,,,,,,,,,,,,
665742,0.952,11.71,0.0522,102.72,82.91,0.13540441,,,,,,,,,,,,,,,,,,,,,
595777,1.014,11.53,0.0154,99.46,91.64,0.163102085,,,,,,,,,,,,,,,,,,,,,
592518,1.014,15.70,0.0818,104.50,91.64,0.118971499,,,,,,,,,,,,,,,,,,,,,
663757,0.952,4.56,0.0610,100.38,82.91,0.084345185,,,,,,,,,,,,,,,,,,,,,
571976,1.014,13.80,0.0652,99.30,91.64,0.1232554,,,,,,,,,,,,,,,,,,,,,
647351,0.909,16.04,0.0493,97.66,90.16,,,,,,,,,,,,,,,,,,,,,,
624428,0.909,14.08,0.0066,91.64,90.16,0.099818504,,,,,,,,,,,,,,,,,,,,,
